Sgt. Dooley races for the bathroom, cursing the "Gremlin" for spraying the memo with mace!	Dooley 警佐衝向廁所，咒罵那個用胡椒噴霧噴備忘錄的「Gremlin」！
On his way out, Dooley yells, "Read the memo yourself, Sonny -- if you can."	Dooley 離開時喊道：「Sonny，自己讀備忘錄——如果你看得懂的話。」
From the hallway comes uncontrolled laughter, as Dooley declares, "When I find who that 'Gremlin' is, I swear I'll kill him!"	走廊傳來失控的笑聲，Dooley 宣告：「等我找出那個『Gremlin』是誰，我發誓要宰了他！」
You can't; that thing is dripping with mace.	不行；那東西沾滿了胡椒噴霧。
You think to yourself, "This is one excited chicken," as you watch it flop, squirt and cluck around on Dooley's desk. You bite your lip trying to keep from laughing.	你看著雞在 Dooley 桌上撲騰、噴濺並咯咯叫，心想：「這真是一隻興奮的雞。」你咬住嘴唇，努力不笑出來。
You may be smart, but you can't read a memo upside down!	你也許很聰明，但你不能倒著讀備忘錄！
What a cruel thought.	真是殘酷的想法。
"Interdepartmental Memo\n\nFrom: Lt. James Morgan, Narcotics.\n\nRe: Officer Bonds\n\nOfficer Bonds' request for a temporary transfer to the Narcotics Department has been approved. Bonds is to report to my office ASAP in suitable street clothes."	「部門間備忘錄\n\n寄件人：James Morgan 中尉，緝毒組。\n\n主旨：Bonds 警官\n\nBonds 警官暫調緝毒組的申請已獲批准。Bonds 請儘速穿著合適的便服到我的辦公室報到。」
Dooley shouts, "I swear if I catch that 'gremlin,' whoever he is, I'm gonna make hamburger out of him!"	Dooley 喊道：「我發誓，如果抓到那個『Gremlin』，不管他是誰，我都要把他剁成漢堡！」
You don't need the books.	你不需要那些書。
They belong to Sgt. Dooley. Don't bother them.	那些書是 Dooley 警佐的。別去動它們。
Dooley keeps his desk neat and orderly.	Dooley 的桌子保持整潔有序。
Sgt. Dooley, the old veteran, barks a lot, but rarely bites.	老兵 Dooley 警佐很愛吼叫，但很少真的咬人。
This is Sgt. Dooley's office. Many butts have been chewed out in this room.	這是 Dooley 警佐的辦公室。許多人曾在這間房裡挨過訓。
"Bonds!" Dooley growls. "Aren't you assigned enough work to do? Go on, get out of here!"	Dooley 低吼：「Bonds！你分配到的工作還不夠多嗎？走，離開這裡！」
Do that in "King's Quest III."	去《國王密使 III》裡做那件事吧。
"Interdepartmental Memo\n\nFrom: Lt. James Morgan, Narcotics.\n\nRe: Officer Bonds\n\nDue to our extreme manpower shortage, Officer Bonds is hereby temporarily transferred to the Narcotics Department. Bonds is to report to my office ASAP in suitable street clothes."	「部門間備忘錄\n\n寄件人：James Morgan 中尉，緝毒組。\n\n主旨：Bonds 警官\n\n由於人力極度短缺，Bonds 警官即日起暫調緝毒組。Bonds 請儘速穿著合適的便服到我的辦公室報到。」
This is %m85's office.	這是 %m85 的辦公室。
Lt. Morgan is a handsome, middle-aged man, with a winsome touch of gray to his hair.	Morgan 中尉是位英俊的中年男子，頭髮帶著迷人的灰白色。
You're in %m85's office.	你在 %m85 的辦公室裡。
%m85 keeps his desk neat and clean, with a place for everything, and everything in its place. There is a telephone on his desk.	%m85 把桌面維持得整潔乾淨，物品各有其位。桌上有一支電話。
You are talented, but there is no need to climb the desk!	你很有天分，但沒必要爬上桌子！
You don't have time to sit on the desk!	你沒時間坐在桌上！
"I have a lot of paperwork and no time to talk!"	「我有一堆文書工作，沒時間聊天！」
"555-6674"	「555-6674」
"Sonny, you were selected because of your experience and years of good service to the force," says %m85.	%m85 說：「Sonny，之所以選中你，是因為你的經驗與多年優良的警隊服務。」
You look under the desk and surmise that %m85 picks his nose.	你看向桌下，推測 %m85 會挖鼻子。
%m85 keeps his window nailed shut!	%m85 把窗戶釘死了！
This file is locked!	這份檔案已鎖定！
Only %m85 has access to this file.	只有 %m85 能存取這份檔案。
Warming the chair would be all you accomplished.	你唯一能做到的，就只是把椅子坐熱。
It's a tile floor.	這是磁磚地板。
%m84's phone is not for your use.	%m84 的電話不是給你用的。
There is nothing on %m84's desk that concerns you.	%m84 桌上沒有與你有關的東西。
%m84 barks, "Sonny, get out from behind my desk!"	%m84 吼道：「Sonny，從我桌子後面出去！」
This door opens out, so you must leave in order to close it.	這扇門向外開，所以你必須離開才能關上。
%m83 jabs, "Sonny! Can't you see I'm busy!"	%m83 尖銳地說：「Sonny！你看不出我很忙嗎！」
"Please, Sonny! I've got a ton of paperwork to do, and no time for conversation."	「拜託，Sonny！我有一大堆文書工作要做，沒時間聊天。」
"Sonny, I don't have time for anything now!"	「Sonny，我現在什麼事都沒時間做！」
It's a window with mini-blinds.	這是一扇裝有百葉簾的窗戶。
That would anger %m83, as he likes his office dark.	那會惹怒 %m83，因為他喜歡辦公室昏暗。
"Lytton City Map"	「Lytton 市地圖」
You do not need it.	你不需要它。
Make your own map!	自己畫地圖吧！
The books on the shelves belong to the Lieutenant.	書架上的書屬於中尉。
You don't need them.	你不需要它們。
It's a ceiling.	這是天花板。
Morgan	Morgan
Lt. %m83	%m83 中尉
Lieutenant %m83	中尉 %m83
