Your gun is still in the jail locker! Perhaps you should get it first.	你的槍還在監獄槍櫃裡！也許你該先拿回來。
Your civilian clothes are hanging on a hanger.	你的便服掛在衣架上。
You grab the keys to your 'Vette.	你拿起 Corvette 的鑰匙。
You put the keys in your locker.	你把鑰匙放進置物櫃。
An old T-shirt and a pair of jeans hang here.	這裡掛著一件舊 T 恤和一條牛仔褲。
Your new, white, pimp suit is hanging on a hanger.	你那套新的白色花花公子西裝掛在衣架上。
You have no use for it if you're not in uniform.	如果你沒穿制服，就用不到它。
You have your orders. Now, get with the plan and bleach your hair!	你已經接到命令。現在照計畫行動，把頭髮漂白！
Your cane with the derringer handle is leaning in the corner.	你的手杖靠在角落，握柄裡藏著小型手槍。
Regulations require a shower before changing.	規定要求換衣服前必須先洗澡。
You don't need the keys until you're off-duty.	下班前你不需要鑰匙。
How wonderful! Fifteen years of service have come to this: wearing a pimp suit to meet a hooker! Now, that's professional advancement!! (Wouldn't your Mommy be proud!)	真棒！十五年的服務生涯竟換來這個：穿花俏西裝去見妓女！這才叫職業升遷！（你媽媽一定很驕傲！）
Where's your other briefcase?	你的另一個公事包在哪裡？
What did you do with the other ammo?	你把另一批彈藥放哪裡了？
Where did you put your car keys?	你把車鑰匙放哪裡了？
Change clothes first.	先換衣服。
Ok. Who'll know?	好。誰會知道？
"What'll it be?"	「要點什麼？」
"Hi, Buddy. What would you like to quench your thirst?"	「嗨，老兄。想喝點什麼解渴？」
"What's your pleasure, my boy?"	「小子，想喝什麼？」
"How ya doing, Sonny? What can I get you?"	「你好嗎，Sonny？我能給你什麼？」
"One %w1, comin' right up."	「一杯 %w1，馬上來。」
"Yes sir! A %w1 %w2? You've got it!"	「好的，先生！一杯 %w1 %w2？沒問題！」
"I think I can handle a %w1 %w2!"	「我想我可以來一杯 %w1 %w2！」
"%m40Sonny. This one is on the house."	「%m40Sonny。這杯算我請客。」
"%m40Buddy. That'll be one dollar."	「%m40老兄。一美元。」
"%m40Big Boy. Sit and sip."	「%m40大男孩。坐下慢慢喝。」
"Come back anytime, Sonny."	「Sonny，隨時歡迎再來。」
"See you later, buddy."	「待會見，老兄。」
"Thanks, trooper. I appreciate your business."	「謝謝你，警官。感謝光顧。」
"Order? Order what?"	「點餐？要點什麼？」
"Ok, one %w2 comin' right up."	「好，一杯 %w2 馬上來。」
There's no waitress. You'd better move over to the bar.	這裡沒有女服務生。你最好移到吧台去。
The bartender can't hear you from here.	酒保在這裡聽不見你。
Don't yell, move over to the bar.	別喊，移到吧台去。
"My, aren't we thirsty today?"	「哎呀，今天口渴了嗎？」
"Hold on. It's comin'."	「等等，馬上來。」
"Hold your shorts. I'll be right there!"	「別急！我馬上過去！」
"Thanks, my man."	「謝謝，老兄。」
"Thank you, sir!"	「謝謝您，先生！」
"If you need anything, just come on back."	「需要什麼就再叫我。」
You don't have money?! Man, what a charmer! This creep stiffs me for a drink!!	你沒錢？！老兄，真會迷人！這傢伙喝酒還想賴帳！
"Sure, sure! You lost your wallet. Get lost, freeloader!"	「好啊，好啊！你丟了錢包。滾吧，吃霸王餐的！」
"Ordering drinks without cash! What a cop!!"	「沒現金還點酒！真是警察！」
"Gee thanks, Mister!"	「哎呀，謝謝你，先生！」
"Feelin' flush today? Thanks for the tip, Bud."	「今天手頭寬裕嗎？謝謝小費，老兄。」
"You're outta money and you try to give me a tip? Sure thing."	「你沒錢了還想給小費？當然可以。」
"If you can pay for your drinks, you can afford a tip, Jack."	「Jack，既然付得起酒錢，就付得起小費。」
The bar top is clean, well-worn, and horizontal. However, years of elbows and drinks have taken their toll.	吧台檯面乾淨、磨損明顯而且平整。不過多年的手肘與酒水已留下痕跡。
Like most glasses, these are more attractive full.	和大多數玻璃杯一樣，裝滿時更好看。
The shelves behind the bar are well-stocked with spirits.	吧台後的架子上備有充足的烈酒。
The %w2 are heavy duty and comfortable.	這些 %w2 結實又舒適。
They're not bad, considering they were purchased ten years ago at a swap meet!	考慮到它們十年前是在跳蚤市場買的，還算不錯！
"Here ya go. That's on the house."	「給你，這杯算我請客。」
"If you change your mind, just holler."	「如果你改變心意，就喊我一聲。」
Sonny, you should know drinking in uniform is strictly prohibited!	Sonny，你應該知道穿制服喝酒是嚴格禁止的！
Here you go, 	給你，
You swig the rancid fluid until you see the bottom of the glass.	你把腐敗的液體一飲而盡，直到看見杯底。
The bulletin board is filled with terminally boring stuff!	公告欄上貼滿無聊至極的東西！
