Being a highly trained observer, you immediately notice a smashed coupe on the sidewalk, and a crowd of rubberneckers milling around nearby. The crowd includes one particularly anxious young man.	你受過高度訓練，立刻注意到人行道旁撞毀的雙門轎車，以及附近圍觀的人群。其中有個年輕人顯得特別焦慮。
The broken glass of the driver's window has a strange pattern for a car wreck. It appears to be a bullet hole!	駕駛座車窗的碎玻璃呈現不尋常的車禍形狀。看起來像是彈孔！
You take a deep breath, look in the car, and see a male slumped motionless over the steering wheel.	你深吸一口氣往車內看，發現一名男子一動也不動地癱在方向盤上。
A closer look reveals a bloody injury to the left side of his head, and a gaping hole in his lower-right jaw!	仔細一看，他頭部左側有血淋淋的傷口，下顎右下方還有一個大洞！
No pulse. No breathing. No vital signs.	沒有脈搏、沒有呼吸，也沒有生命跡象。
There is a bullet hole in the driver's window. This is not your normal, everyday traffic accident. In your opinion, this man was murdered!	駕駛座車窗上有彈孔。這不是普通的交通事故。依你的判斷，這名男子遭到謀殺！
You use your radio to advise Dispatch of the apparent homicide.	你用無線電向調度中心通報疑似謀殺案。
The car radio crackles a response...	車上的無線電發出沙沙聲後回應……
Without a radio extender, you can't use your car radio from here.	沒有無線電延伸器，你無法在這裡使用車上的無線電。
"10-4, 83-32. We copy 187pc homicide."	「10-4，83-32。我們收到 187pc 謀殺案通報。」
"Be advised, one homicide unit is en route, and the Coroner's Office has been notified. Continue investigation."	「請注意，一組命案小組正在前往現場，法醫辦公室也已通知。繼續調查。」
You have nothing to report. Investigate the accident scene to see if you can discover something.	你沒有可報告的事。調查事故現場，看看能否發現什麼。
An excited young man approaches you.	一名激動的年輕人走近你。
"Officer," he says, "I saw what happened! I saw everything!!"	「警官，」他說，「我看到事情經過！我全都看到了！」
"I was buying a paper at the newsstand across the street when I heard the scream of tires," he tells you. "I looked down the street, and here comes this car and a light blue, late-model Cadillac racing down the street side-by-side!"	「我在街對面的報攤買報紙時，聽到輪胎尖叫聲，」他告訴你。「我往街上一看，就看到這輛車和一輛淺藍色的新款 Cadillac 並排沿街狂奔！」
"When they got closer, I heard a 'bang.' I thought one of 'em had a blowout!"	「它們靠近時，我聽到一聲『砰』。我還以為其中一輛爆胎了！」
"But, right after that, this car here lost control and crashed. The light blue Caddie just kept on jammin'!" he finishes breathlessly.	「可是緊接著，這輛車失控撞上了。那輛淺藍色 Caddy 繼續狂飆！」他上氣不接下氣地說完。
"I think I saw part of his license plate number, 'L964.'"	「我想我看到部分車牌號碼，是『L964』。」
You notify dispatch of the vehicle information.	你向調度中心通報車輛資訊。
Homicide Detective Oscar Hamilton arrives with Sergeant Dooley.	命案刑警 Oscar Hamilton 和 Dooley 警佐抵達現場。
Dooley tells you, "Bonds, Detective Hamilton will handle the investigation from here."	Dooley 告訴你：「Bonds，Hamilton 警探會從這裡接手調查。」
"Hit the streets and try to find the rat responsible," says Sgt. Dooley. "I'll introduce the witness to Hamilton."	「上街找出那隻混蛋，」Dooley 警佐說。「我會把證人介紹給 Hamilton。」
The little old lady in the crowd cries out, "Officer, do something. That man is hurt bad! Help him!!"	人群中的老太太喊道：「警官，快做點什麼。那個人傷得很重！救救他！」
This man is beyond help.	這名男子已經無法救治。
"All I know is," says the witness, %m19	「我只知道，」證人說，%m19
The green coupe will require a major front-end job!	這輛綠色轎車的車頭需要大修！
Dooley reminds you, "Ok, Sonny, move it out! That's an order."	Dooley 提醒你：「好了，Sonny，離開現場！這是命令。」
Dooley tells you, "Resume patrol now, Officer Bonds."	Dooley 告訴你：「Bonds 警官，現在恢復巡邏。」
Dooley says, "Anytime now, Bonds. Hit the street!"	Dooley 說：「Bonds，現在就走。上街！」
Dispatch will not hear you unless you use the radio.	除非使用無線電，否則調度中心聽不到你的通報。
"10-4, 83-32. We copy light blue Cadillac, partial license 'L964.'"	「10-4，83-32。我們收到淺藍色 Cadillac，部分車牌『L964』。」
You have nothing further to report.	你沒有其他要報告的事。
"10-4, 83-32. Hamilton and Dooley are in route. Estimated time of arrival is momentarily!"	「10-4，83-32。Hamilton 和 Dooley 正在途中，馬上就到！」
It would be more professional to wait until the homicide detectives arrive before leaving the scene.	等命案刑警抵達後再離開現場，會比較符合專業程序。
You see a man slumped over the wheel.	你看見一名男子癱在方向盤上。
The crowd appears to be fixated on the wreck.	人群似乎全都盯著車禍現場。
"10-4, 83-32. We copy 187pc homicide. Continue investigation."	「10-4，83-32。我們收到 187pc 謀殺案通報。繼續調查。」
%m20 "Dispatch, this is 83-32. Be advised description of suspect vehicle is late-model, light blue Cadillac."	%m20「調度中心，這裡是 83-32。請注意，嫌疑車輛是一輛新款淺藍色 Cadillac。」
The wreck victim's license plate appears to have been lost during the accident.	車禍受害者的車牌似乎在事故中遺失了。
This car smells of death.	這輛車散發著死亡的氣味。
