Around the hallway is a key board, a table holding radio extenders, a photograph on the far wall, and a barred window to the evidence room.	走廊周圍有一面鑰匙板、一張放著無線電延伸器的桌子、遠牆上的照片，以及通往證物室的鐵窗。
The table holds hand-held radio extenders that work in conjunction with your police car radio, when you are not near your patrol car.	桌上放著手持無線電延伸器，當你不在巡邏車附近時，可搭配警車無線電使用。
This key board holds the keys to the squad cars that are presently operable.	這面鑰匙板掛著目前可用警車的鑰匙。
This the most recent photograph of Lytton's Chief of Police Randolph "Brown Nose" Whipplestick. Appointed to the department only ten years ago, "Ol' B. N." rapidly manipulated his way to the top.	這是 Lytton 警局長 Randolph「馬屁精」Whipplestick 最近的照片。他十年前才加入警局，「老 B.N.」很快就靠手腕爬到頂端。
On the far wall is a photograph of Chief Whipplestick. On another wall, you see a key board.	遠牆上掛著 Whipplestick 局長的照片，另一面牆上有鑰匙板。
Good cops don't take city property without permission. Besides, what kind of nut would want the Chief's ugly face?	好警察不會未經許可拿走市政府財產。而且，哪個瘋子會想要局長那張醜臉？
That thing is screwed into the wall so tight, it would take you half a shift to remove it!	那東西鎖在牆上緊得要命，你得花半個班次才能拆下來！
Come on. You only need one!	拜託，你只需要一把！
You pick up a squelchy, noisy, but workable extender.	你拿起一個雜音很大的延伸器，但還能正常運作。
You look down and note a very clean, gray-tiled floor.	你低頭看到非常乾淨的灰色磁磚地板。
Whew! At least you have enough time to change clothes before briefing!	呼！至少你還有足夠時間在簡報前換衣服！
Why would you need a radio extender when you're off duty?	下班時何必需要無線電延伸器？
A radio extender is too bulky to carry on an undercover assignment.	無線電延伸器太笨重，不適合臥底任務攜帶。
You imagine that Russ must feel like a prisoner inside the tiny, evidence lockup.	你想像 Russ 在狹小的證物室裡一定像個囚犯。
You return your radio extender to the recharge stand.	你把無線電延伸器放回充電座。
Fluorescent lights illuminate the hallway.	日光燈照亮走廊。
You can't drive two cars at once.	你不能同時開兩輛車。
You take the patrol car's keys from the key board.	你從鑰匙板拿下巡邏車鑰匙。
We lock it up, not give it out.	我們把它鎖起來，不是拿出去。
The evidence lockup is operated by officer "Russ Dinkle."	證物室由「Russ Dinkle」警官管理。
You hang the keys on the key board.	你把鑰匙掛回鑰匙板。
Hi, Sonny, says Russ. "What do you need?"	Russ 說：「嗨，Sonny。你需要什麼？」
The door is closed.	門是關著的。
The car door is open.	車門是開著的。
The car door is closed.	車門是關著的。
The parking lot is surrounded by brick and chain link.	停車場四周是磚牆和鐵絲網。
The evidence lockup is operated by officer "Russ Dinkle."	證物室由「Russ Dinkle」警官管理。
