You're not close enough to Jack to obtain the gun.	你離 Jack 不夠近，拿不到槍。
You can't see it from here.	你從這裡看不見它。
Your radio crackles to life with a message from Dispatch, "83-32, license plate 'UL6942' not listed as stolen. Registered to a '79 Cadillac junked in 1983."	你的無線電傳來調度台訊息：「83-32，車牌 UL6942 未列為失竊。登記於一輛 79 年 Cadillac，已在 1983 年報廢。」
You peer through the department store window, but see nothing of interest.	你透過百貨公司窗戶往裡看，但沒看到有趣的東西。
The mini-blinds prevent you from seeing inside.	百葉簾擋住你的視線。
%m64, a dancer from the local "Rent-A-Gag" business, enters the room, dressed in a grass skirt and balloons!	當地「Rent-A-Gag」公司的舞者 %m64 走進房間，穿著草裙、身上綁著氣球！
You relax and enjoy the selection "My Eyes Cross With Your Touch."	你放鬆下來，欣賞歌曲「你的觸碰讓我眼花撩亂」。
You select the latest in love songs, "I Shoulda Bought A Monkey To Take Your Place."	你選了最新情歌「我早該買隻猴子代替你」。
You select that old instrumental classic "My Nostrils Slam Shut When You Breathe."	你選了那首老牌器樂曲「你呼吸時我的鼻孔會緊閉」。
In a depressed, slurred voice, Jack speaks to you...	Jack 用沮喪含糊的聲音對你說……
Jack motions you to the chair on his left.	Jack 示意你坐他左邊的椅子。
This table is occupied.	這張桌子有人坐了。
Move closer to the chair.	靠近椅子。
Jack says, "I can't hear you, Sonny. Come over here"	Jack 說：「我聽不見你，Sonny。到這裡來。」
Keith pipes up, "Ohm'gosh, Sonny! Did you forget? We swapped shifts last week! You're due at the station for swing shift briefing in fifteen minutes!"	Keith 插話：「天啊，Sonny！你忘了嗎？我們上週換班！十五分鐘後你要回警局參加晚班簡報！」
"You'd better get moving, boy!"	「你最好快點動身，小子！」
The bartender says, "For your information, Sonny, I have a cab on the way for Jack."	酒保說：「告訴你一聲，Sonny，我已經叫計程車來接 Jack。」
This is "The Blue Room", a popular lounge for cops. Behind the bar stands the owner, retired LPD officer Bobby Lopez.	這是「Blue Room」，警察常去的酒廊。吧台後站著老闆、退休 LPD 警官 Bobby Lopez。
Please don't sit here.	請別坐這裡。
been released	已被釋放
There is a city-wide dragnet out on him right now and...	現在全市正在搜索他，而且……
You are looking at the latest in jukeboxes. This machine features a one-touch, fully-automated selection system.	你看到最新款點唱機。這台機器採用一鍵全自動選曲系統。
Its sound system features light amplification by stimulated emissions of radiation...	它的音響系統採用受激輻射光放大……
...and fully-computerized, video reproductions of your favorite artists, which thankfully are inoperative at this time!	……並能以電腦播放你最喜愛藝人的影像，幸好現在這功能壞了！
In her most seductive voice, %m64 whispers, "Here's a little something so you'll have a happy birthday, Jack, baby!"	%m64 用最誘人的聲音低語：「這是小小心意，祝你生日快樂，Jack，寶貝！」
Keith says, "Well, Jack, you ol' codger. What did you think of %m64?"	Keith 說：「Jack，你這老傢伙。你覺得 %m64 怎麼樣？」
"You know, Keith," Jack answers, "I think I'll ask Santa to put her under my tree this year."	Jack 回答：「你知道嗎，Keith，我想今年要請聖誕老人把她放在我的樹下。」
