You remove your leisure suit and place it in the locker, taking the towel. Are you ever glad to be out of THAT thing!	你脫下休閒服放進置物櫃，拿出毛巾。能脫掉那件東西真是太好了！
It's the combination lock for your locker. To use it, click your hand on the dial beside the digit you wish to change. Dial the correct combination and then click your hand on the locker handle to open the locker.	這是置物櫃的號碼鎖。使用時，點擊想更改的數字旁的轉盤。轉到正確號碼後，再點擊把手開啟置物櫃。
Officer Morris can wash himself, thank you very much.	Morris 警官會自己洗澡，謝謝關心。
Officer Morris Fudley of the Traffic Division. Boy, does this guy love to take showers!	交通科的 Morris Fudley 警官。天啊，這傢伙真愛洗澡！
Officer Morris is too busy singing to talk to you.	Morris 警官忙著唱歌，沒空跟你說話。
Hey! Watch it, hairy!	嘿！小心點，毛人！
Hey, wake up, Bonds.	嘿，醒醒，Bonds。
I'd love to dance with you, Bonds, but unfortunately, I have to go out and be a cop. Maybe some other time.	我很想和你跳舞，Bonds，但很遺憾，我得出去當警察。下次吧。
Hey, dude, keep outta my personal space, okay?	嘿，老兄，離我的私人空間遠點，好嗎？
A proud member of the LPD.	LPD 引以為傲的一員。
Hey Sonny, You smell like a goat. Take a shower, dude.	嘿，Sonny，你聞起來像山羊。去洗澡吧，老兄。
My poor old dog has no nose.	我那可憐的老狗沒有鼻子。
Poor guy. How does he smell?	可憐的傢伙。牠聞起來怎樣？
He smells awful! Ha ha ha!	牠聞起來糟透了！哈哈哈！
Ouch! You can't believe you fell for that one.	哎喲！真不敢相信你會上這個當。
Hey, Sonny, you found a girlfriend yet? Wake up, buddy, the lovely ladies of Lytton are pining away for you. Hah!	嘿，Sonny，你找到女朋友了嗎？醒醒吧，老兄，Lytton 的美女們都在等你呢。哈！
Personal hygiene is very important, you know. You do brush every day, don't you? I hope you floss. Most people don't. Be sure you get between your back teeth. Popcorn hulls and apple skins can hide back there for weeks. Weeks, I tell you!	個人衛生很重要，你知道嗎。你每天都刷牙吧？希望你也用牙線。大多數人不會。記得清理後排牙齒之間，爆米花殼和蘋果皮可以在那裡躲好幾週。好幾週，我說真的！
Hmm, I don't know about this cologne. What do you think, Sonny?	嗯，我不確定這款古龍水好不好。你覺得呢，Sonny？
Musk and leather are out this year. Woodsy scents are in.	今年麝香和皮革退流行了，木質香氣才流行。
Yeah? Really?	是嗎？真的？
Really. But this stuff...I dunno, it's citrusy. Makes you smell like a mango or something.	真的。不過這東西……我不知道，有股柑橘味。會讓你聞起來像芒果之類的。
Thanks loads, Bonds. Anyway, a mango isn't a citrus fruit.	多謝你啊，Bonds。不過芒果不是柑橘類水果。
What am I, a farmer?	我是農夫嗎？
You're about as good a farmer as a fragrance consultant. Or a cop, for that matter!	你當農夫就跟當香氛顧問一樣不稱職。當警察也是！
Did you know that Medieval people only bathed a few times a year? Dooley would've fit right in...HAH!	你知道中世紀的人一年只洗幾次澡嗎？Dooley 肯定很適合那個年代……哈哈！
You remove your gunbelt. It carries your 9mm handgun, speedloader, and a pair of stainless steel handcuffs.	你解下槍帶。上面掛著 9mm 手槍、快速裝彈器和一副不鏽鋼手銬。
Take your departmental issue piece with you on an undercover assignment, Bonds? Not too smart.	Bonds，執勤臥底還帶著配槍？不太明智。
This is the handle for your locker. Once you've entered the combination, lifting this handle will open the locker.	這是置物櫃把手。輸入號碼後，抬起把手就能開櫃。
Why don't you try your combination instead, Bonds?	Bonds，何不試試你的號碼？
It's your locker door.	這是你的置物櫃門。
You put your personal car keys in your locker.	你把私人車鑰匙放進置物櫃。
You hang your gunbelt in the locker.	你把槍帶掛進置物櫃。
You put the notebook and pen in the locker.	你把筆記本和筆放進置物櫃。
You put the peroxide in the locker.	你把過氧化物放進置物櫃。
You put your ticketbook in the locker.	你把開單簿放進置物櫃。
These are lockers which give this room its name.	這些置物櫃就是這個房間名稱的由來。
It's your ticket book and pen.	這是你的開單簿和筆。
This is your departmental issue PR-24 nightstick.	這是警察局配發的 PR-24 警棍。
The partition is good at keeping shower water away from the locker area.	隔板能有效防止淋浴水濺到置物櫃區。
It's the bottle of peroxide you're supposed to use to dye your hair white. Pyew!	這瓶過氧化物是拿來把頭髮染白的。呸！
Just walk there.	走過去就好。
