The Court Clerk asks, "Did you get what you needed?"	法院書記官問道：「你要的東西都拿到了嗎？」
The Court Clerk responds, "Very good, Officer. Go get 'em."	法院書記官回答：「很好，警官。去逮到他們吧。」
There's nothing of interest,  except that statue of Justice above the double doors leading to the courtroom.	沒什麼特別的，只有通往法庭的雙開門上方那尊正義女神像。
These doors lead to Judge Kim Palmer's courtroom.	這扇門通往 Kim Palmer 法官的法庭。
"That's very nice, sir," responds the Clerk, "but I have no authority in matters such as this."	「這樣很好，先生，」書記官回答，「但這類事務不在我的職權範圍內。」
Judge Kim Palmer addresses her courtroom...	Kim Palmer 法官向法庭上眾人訓話……
"Silence in the court!"	「法庭肅靜！」
In a firm voice the bailiff speaks to you, "Well? The judge is waiting for you."	法警語氣堅定地對你說：「怎麼樣？法官在等你了。」
"Mr. Bonds, who, or what, is this warrant for?" says the judge.	法官問：「Bonds 先生，這張通緝令是要對誰，或針對什麼核發的？」
"And, what information do you have to substantiate the validity of a warrant?"	「那麼，你有什麼資訊可以證明這張通緝令的正當性？」
You hand the evidence to the bailiff.	你把證物交給法警。
Judge Palmer reviews the FBI flyer and the file. To your great relief, she issues a No Bail Warrant for Mr. Jason Taselli, alias Marvin Hoffman!	Palmer 法官審閱了 FBI 通緝海報與檔案。讓你大大鬆了一口氣，她核發了一張不得交保的通緝令，對象是 Jason Taselli，化名 Marvin Hoffman！
"Here you are, Mr. Bonds. I hope you are not too late. Taselli's attorney is at the jail at this very moment, attempting his release."	「拿去吧，Bonds 先生。希望你還來得及。Taselli 的律師此刻正在監獄，設法讓他獲釋。」
This court is in session. The bailiff proceeds toward you.	本庭正在開庭。法警朝你走了過來。
"For your information, Sir, this court is in session!"	「跟你說一聲，先生，本庭正在開庭！」
"You are most fortunate that I do not hold you in contempt!"	「算你走運，我沒有以藐視法庭罪起訴你！」
"Bailiff! Show this gentleman out of my courtroom!"	「法警！把這位先生請出我的法庭！」
," says Judge Palmer. "However, by itself, it is not sufficient evidence to detain Mr. Hoffman."	，」Palmer 法官說。「不過，單憑這一點，還不足以構成拘留 Hoffman 先生的證據。」
That drug-peddling punk just blew you%m46	那個販毒的小混混剛把你撂倒%m46
You just blew that drug-peddling punk%m46	你剛把那個販毒的小混混撂倒%m46
The old, redwood picnic table covered with bird droppings, ants, peanut butter smudges and assorted initials.	這張老舊的紅木野餐桌上滿是鳥糞、螞蟻、花生醬污漬，還有各種刻上去的姓名縮寫。
The hedge is nicely trimmed.	這排樹籬修剪得整整齊齊。
This wall is composed of 3500 bricks and 2000 pounds of mortar, and was built by the Mark Crowe Graphics Construction Company.	這面牆由 3500 塊磚頭和 2000 磅水泥砌成，由 Mark Crowe Graphics Construction Company 所建造。
This beautiful old, oak tree will give you shade but little else.	這棵美麗的老橡樹能給你遮蔭，但也就僅此而已。
You conceal yourself in the bushes, but with a clear view of the table.	你躲進灌木叢裡藏身，但視野依然能清楚看到那張桌子。
Your extender crackles, "This is 83-Nora-10. Notify when you are in position."	你的無線電延伸器傳出雜音：「這裡是 83-Nora-10。就定位後請通知。」
If you had a radio extender, that would be easy.	如果你有無線電延伸器，這就簡單多了。
You key your extender and notify Detective Watts that you're in a concealed position.	你按下無線電延伸器的通話鍵，通知 Watts 警探你已就隱蔽位置。
She responds to your transmission, "10-4! Will maintain radio silence until I hear from you."	她回覆你的通報：「10-4！在收到你的消息前，我會保持無線電靜默。」
You're supposed to be hiding! No one will play "Let's Make A Dope Deal" with you milling about.	你應該要躲起來才對！你在這裡晃來晃去，沒有人會想跟你玩這場『毒品交易』遊戲。
Working a stakeout without a radio extender isn't exactly the way they taught it at the Academy.	沒帶無線電延伸器就執行埋伏勤務，警校可不是這樣教的。
"Keep it down. This is a stakeout, remember?"	「小聲點。這裡是埋伏現場，忘了嗎？」
You quietly watch a man enter the picnic area.	你悄悄看著一名男子走進野餐區。
He cautiously nears the picnic table.	他小心翼翼地靠近野餐桌。
Another figure carefully approaches the picnic table. Could it be his drug contact?	另一個人影小心地靠近野餐桌。會是他的毒品交易對象嗎？
"Psst, Vic! Were you followed?"	「噓，Vic！你有被跟蹤嗎？」
"No way, man. It's cool!"	「不可能，老兄。沒事的！」
"I got the stuff. Did you bring the cash?"	「貨我帶來了。你把錢帶來了嗎？」
"Ya, right here."	「有，就在這裡。」
One suspect hands what appears to be an envelope to the other suspect.	一名嫌犯把一個看似信封的東西遞給了另一名嫌犯。
The second suspect returns a small plastic bag containing a white substance.	第二名嫌犯則遞回一個裝著白色物質的小塑膠袋。
"Hey, Butt Breath! This ain't enough!! Where's the rest?"	「喂，臭嘴巴！這樣不夠！！剩下的呢？」
As they argue, you realize the pusher is dissatisfied with the contents of the envelope.	從他們的爭執中，你發現毒販對信封裡的東西不太滿意。
You quietly radio Laura, "I'm moving in. You hook up anybody trying to take foot bail!"	你悄聲用無線電通知 Laura：「我要行動了。要是有人想拔腿就跑，你負責把他銬起來！」
You trade your career for a few seconds of heavenly bliss.	你用自己的警察生涯，換來了短短幾秒鐘的極樂快感。
"Halt!" you shout. "Police officer!!"	「站住！」你大喊。「警察！！」
"Yeah? So what! Ain't nothin' wrong been done here!!"	「怎樣？那又如何！我們又沒做錯什麼事！！」
You follow Simms to the patrol car.	你押著 Simms 走向巡邏車。
You 'cuff one trembling suspect.	你把一名瑟瑟發抖的嫌犯銬了起來。
You'd better 'cuff him first.	你最好先把他銬起來。
Pushing a little, you rush out, and frighten away the suspects!	你操之過急，衝了出去，結果把嫌犯都嚇跑了！
He is 'cuffed!	他已經被銬起來了！
The search reveals nothing except his school identification card, and the small bag containing a white powdery substance that you watched him get from the pusher.	搜身結果除了他的學生證，以及你親眼看他從毒販手中拿到的那袋白色粉末之外，沒有其他發現。
As you move, a dry branch snaps beneath your weight. Unfortunately, its loud "CRACK!" reveals you to the suspects!	你一移動，腳下一根乾樹枝應聲折斷。不巧那聲響亮的「啪！」暴露了你的行蹤！
Those two are sure paranoid. They're history now.	那兩個人疑心病真重。現在也已經是過去式了。
Well, you blew that one! There won't be any drug deal here today!	哎，你搞砸了！今天這裡是不會有毒品交易了！
Whoops! You're not going to get 'em this time! Failure to follow proper procedure leaves you in an awkward position. You'd better refer to your "PIG" manual!	哎呀！這次你逮不到他們了！沒有遵照正確程序，讓你陷入了尷尬的處境。你最好翻翻你的『PIG』手冊！
This kid is so scared, that won't be necessary.	這孩子嚇得半死，這麼做沒有必要。
Holster your weapon first.	先把你的槍收回槍套。
You can't just go off and leave your suspect.	你不能就這樣丟下嫌犯不管。
 into "Police Quest II," coming soon to a computer near you!	，變成《Police Quest II》，敬請鎖定你身邊的電腦！
"Ah, ha! Colby!"	「啊哈！Colby！」
You radio Laura, "I've got mine in custody, and we're heading for the car. I'll meet you there."	你用無線電通知 Laura：「我這邊已經拘留了，我們正往車子走。我到那裡跟你會合。」
The bushes seem unimpressed with your bravado!	這叢灌木似乎對你的逞英雄一點也不買帳！
It's a little early for that!	現在做這個還太早了點！
"I used to buy from a guy named Jose Martinez, but then Martinez introduced me to that guy, Colby," Simms says, "I haven't seen Martinez since."	Simms 說：「我以前都跟一個叫 Jose Martinez 的傢伙買貨，後來 Martinez 把我介紹給了那個叫 Colby 的人，」「從那之後我就沒再見過 Martinez 了。」
"It's a pleasure doin' business with 'cha."	「跟你做生意真愉快。」
"See ya next time, Dude!"	「下次見啦，老兄！」
And then, they quickly hit the road.	接著，他們便迅速離開了。
"Laura! Grab him!!"	「Laura！抓住他！！」
"Hey, who's 'dat?"	「嘿，那是誰啊？」
"(crackle... static... crackle...)"	「（沙沙……雜訊……沙沙……）」
Where are you going? Nobody's going to do anything illegal with you hanging around!	你要去哪裡？你在這裡晃來晃去，沒人會做任何違法的事！
A little slow today, are we? Now you've missed your chance. Those two are history.	今天手腳有點慢喔？現在機會沒了。那兩個人已經跑了。
