Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
Police Quest: In Pursuit of the Death Angel Version: %s	《警察故事：追捕死亡天使》版本：%s
The entire Police Quest series features authentic law enforcement techniques. Our goal is to give you a taste of what policemen and policewomen actually encounter in their day-to-day dealings with the public and with each other.	《警察故事》系列採用真實的執法技巧。我們希望讓你體驗警察每天與民眾及同僚打交道時，實際會遇到的情況。
If you're finding POLICE QUEST: IN PURSUIT OF THE DEATH ANGEL entertaining and enlightening, you'll want to play the other games in the POLICE QUEST series:	如果你覺得《警察故事：追捕死亡天使》既有趣又長見識，也一定會想玩玩《警察故事》系列的其他作品：
Police Quest: In Pursuit of the Death Angel was created by the following Honorary Members of the Lytton PD:	《警察故事：追捕死亡天使》由以下 Lytton 警察局榮譽成員共同製作：
Executive Producer: Ken Williams Creative Director: Bill Davis Producer: Tammy Dargan Art Director: Jim Larsen	執行製作：Ken Williams　創意總監：Bill Davis　製作人：Tammy Dargan　美術總監：Jim Larsen
Composer: Rob Atesalp Animators: Cindy Walker Daryle Smith Al Roughton Frances Anne Powell Deanna Yhalkee Spartaco Margioni Jim Larsen	作曲：Rob Atesalp　動畫：Cindy Walker、Daryle Smith、Al Roughton、Frances Anne Powell、Deanna Yhalkee、Spartaco Margioni、Jim Larsen
Music Director: Mark Seibert	音樂總監：Mark Seibert
Additional Written Material: Scott Murphy Lorlei Shannon	補充文字：Scott Murphy、Lorlei Shannon
Special Thanks: Kit Rees, Model Assembly Quality Assurance: Mike Pickhinke John Ratcliffe	特別感謝：Kit Rees、Model Assembly　品質保證：Mike Pickhinke、John Ratcliffe
Not now.	現在不行。
Intro/Credits	開場／製作人員
Play New Game	開始新遊戲
Restore Old Game	讀取舊遊戲
Police Quest:	《警察故事》：
The Death Angel	死亡天使
The Present	現在
Select this icon to adjust the game's sound, detail level, Sonny's movement speed, or to save, restore, or quit a game.	選取此圖示可調整音效、畫面細節與 Sonny 的移動速度，也能存檔、讀檔或離開遊戲。
This is Sonny's currently selected inventory item.	這是 Sonny 目前選取的物品。
Use this to reduce animation and speed-up play if the game is running too slow on your machine.	如果遊戲在你的電腦上執行太慢，可用此功能減少動畫、加快遊戲速度。
Select this icon to manipulate objects or to pick up items.	選取此圖示可操作物件或拾取物品。
This is the help icon. Click this on other icons to see what they do.	這是說明圖示。將它點到其他圖示上，即可查看各圖示的功能。
Return to the game.	返回遊戲。
Start the game at the beginning.	從頭開始遊戲。
Restore A Game.	讀取遊戲。
Save your current game.	儲存目前的遊戲。
This displays your current score.	這裡顯示目前得分。
Use this to adjust the sound level.	用此功能調整音量。
Use this to control the speed of Sonny's movement.	用此功能控制 Sonny 的移動速度。
Select this icon to talk with other people in the area.	選取此圖示與附近的人交談。
Welcome to Police Quest. Pick one of the following.	歡迎來到《警察故事》。請選擇下列選項。
Use this icon to move Sonny around.	用此圖示讓 Sonny 四處移動。
Lytton, California	加州 Lytton
This is the parking garage.	這是停車場。
You don't want to use your personal car for business. You don't know if your insurance covers it!	你可不想開自己的車辦公。誰知道保險到底賠不賠！
You'll need your car keys first.	你得先拿到車鑰匙。
It's your sporty personal vehicle.	這是你那輛帥氣的私人座車。
The door opens automatically. Just walk up to it.	門會自動打開，直接走過去就好。
This is the entrance to the police station.	這是警察局入口。
You give the car a quick inspection. Everything looks ready to go.	你快速檢查車輛，一切看起來都已準備就緒。
Only uniformed officers can use the patrol car, Bonds.	Bonds，只有穿制服的警員才能使用巡邏車。
You'll need keys for that.	你需要鑰匙才能那樣做。
That's your departmental issue patrol car.	那是警局配發給你的巡邏車。
You'll need the undercover car's keys before you can drive it.	你得先拿到便衣車的鑰匙才能開它。
This is the Lytton Police station.	這是 Lytton 警察局。
