"I'm truly sorry, sir. Is there anything I can do to convince you to let me off? And, I DO mean anything!"	「真的很抱歉，先生。我能做些什麼說服你放我一馬嗎？而且，我是認真的！」
"Why, I've never heard of anyone by that name, Officer!"	「警官，我從沒聽過那個名字！」
"Why, Officer!" she smiles coyly. "Please don't stare there!!"	「哎呀，警官！」她羞怯地笑著。「請別盯著那裡看！」
"Why don't you look at my license?" she asks.	「你為什麼不看看我的駕照？」她問。
"Good day, Ma'am," you say, trying to keep your glance high. "I'm Officer Sonny Bonds."	你努力把視線抬高，說：「午安，女士。我是 Sonny Bonds 警員。」
Your heart slips up into your throat! %m5	你的心臟一下子跳到喉嚨口！%m5
"Short memory, Officer?" she snickers.	「警官，你記性真差？」她竊笑道。
"What did I do wrong, Officer?" she says, showing her best smile.	「警官，我做錯了什麼？」她露出最燦爛的笑容。
That is unnecessary for a simple traffic violation.	普通交通違規不需要那樣做。
Nice try, but unfortunately, unnecessary in a traffic violation.	想得不錯，但很遺憾，交通違規不需要那樣做。
R. J. Jefferson, the Department's janitor, does good work. Don't mess it up!	警局清潔工 R. J. Jefferson 做得很不錯。別把它弄亂！
You see a textured ceiling with florescent lighting.	你看見有紋理的天花板和螢光燈。
You don't need anything in the drawer.	抽屜裡沒有你需要的東西。
Under the table, 243 pieces of gum defy gravity.	桌子底下有 243 塊口香糖違反重力黏著。
The wooden bench is securely attached to the floor.	木頭長椅牢牢固定在地板上。
You can't move something that's anchored to the floor.	固定在地板上的東西動不了。
The spigot is out of reach.	水龍頭搆不到。
There's no doubt that somewhere in your life you fell off a high porch and landed hard on your head!	毫無疑問，你人生某個時候一定從高高的門廊摔下來，還重重撞到了頭！
Grown policemen don't climb on benches, Sonny.	成年警察不會爬長椅，Sonny。
This shower is already occupied. (And you're not that kind of boy!)	這間淋浴間已經有人了。（而且你不是那種男孩！）
Morris Fudley has worn out this shower!	Morris Fudley 把這間淋浴間用壞了！
You look down and note a very clean, blue-tiled floor.	你低頭看見非常乾淨的藍色磁磚地板。
"We lock it up, not give it out."	「我們把它鎖起來，不是拿出去。」
"Hi, Sonny," says Russ. "What do you need?"	Russ 說：「嗨，Sonny。你需要什麼？」
"Now, Sonny, you know this is official evidence. Don't go running off with it!"	「Sonny，你知道這是正式證物。別拿著它跑掉！」
You see Russ looking back at you.	你看見 Russ 回頭望著你。
"Move outta the way!"	「讓開！」
"Another day, another dollar! Write some tickets and Dooley won't holler!"	「過一天賺一天！多開幾張罰單，Dooley 就不會吼叫！」
"Detective Bonds, it appears you've been on a roll lately!"	「Bonds 警探，看來你最近表現得很順利！」
You lost those keys, remember?	你把那些鑰匙弄丟了，記得嗎？
Since you're not assigned to this vehicle, there's no need to safety check it.	你不是這輛車的編派警員，不需要檢查它的安全性。
The back seat is reserved for prisoners and you have none!	後座是給犯人坐的，而你現在沒有犯人！
Trying to crawl through the window? %m2	想從窗戶爬進去嗎？%m2
You don't have the keys to this car.	你沒有這輛車的鑰匙。
There is no reason to open the passengers' doors.	沒有理由打開乘客側的車門。
Laura says, "Sonny, I'll go write up this arrest."	Laura 說：「Sonny，我去寫這份逮捕報告。」
As you start to examine the evidence, you hear Jack's voice behind you, "Just leave that stuff in the trunk, Sonny. I'll impound it along with the car."	你開始檢查證物時，聽見 Jack 在身後說：「那些東西就留在後車廂，Sonny。我會連同車子一起扣押。」
