Just a moment, Sir. That number is 555-6887. Thank you for using LT&T.	稍等一下，先生。那個號碼是 555-6887。感謝您使用 LT&T。
"We're sorry. All circuits are busy. Please try again later."	「很抱歉，目前所有線路都忙線中，請稍後再撥。」
You hear a knock at the door.	你聽到敲門聲。
You don't want to be late for the poker game, Bonds. These guys aren't the forgiving type.	Bonds，你可不想撲克局遲到。這些傢伙不是會輕易原諒人的類型。
Wow, Sonny, this is some fancy pad! Is the department paying for this?	哇，Sonny，這地方真氣派！是局裡出的錢嗎？
Every bit, fortunately. I couldn't afford to stay here. Hell, on my salary, I couldn't afford a Motel 6.	算你走運，全額都是局裡出的。要是自己出錢，我根本住不起這裡。老實說，靠我這薪水，我連 Motel 6 都住不起。
I don't want your money, honey, I want your love!	親愛的，我要的不是你的錢，我要的是你的愛！
Uh, um, ahh, er...	呃，嗯，啊，呃……
So, if the department's footing the bill, let's order some champagne and strawberries from room service, huh?	既然局裡買單，那我們就叫客房服務送點香檳和草莓上來吧，如何？
Oh, don't call a cab just yet, baby. We've got the room, and the poker game doesn't start for awhile...come on, baby, what do you say?	喔，寶貝，先別急著叫計程車嘛。房間都訂好了，撲克局也還要一陣子才開始……來嘛，寶貝，你說呢？
Um, actually, I need to call a cab and get you out of here. Things could start to get dangerous.	呃，其實我得叫台計程車送你離開這裡。接下來情況可能會變得危險。
This looks like one of the guys at the game. I hope we can reel this fish in.	這人看起來像是牌局裡的其中一員。希望我們能把這條魚釣上來。
Don't leave now.	先別走。
Don't leave now! Your backup's on the way!	先別走！你的支援已經在路上了！
Marie, um, I like you a lot, and don't think I wouldn't love to, but I can't. I'm on duty. Besides...I'd like to get to know you better first, you know?	Marie，呃，我真的很喜歡你，別誤會我不想，只是我不能。我在執勤中。而且……我想先多了解你一點，你懂嗎？
Geez, Sonny, you're the nicest guy I know. You make me wish I hadn't screwed up my life so bad. If I'd met a guy like you before...never mind. Anyway, you're probably right. I wouldn't want to get you in trouble.	天啊，Sonny，你是我認識的人裡最好的一個。你讓我真希望自己沒把人生搞得這麼糟。要是我以前遇到像你這樣的人……算了，沒事。反正你說得可能對，我也不想害你惹上麻煩。
You spend the next several hours in absolute hedonistic bliss with Marie. You miss the poker game. Sometime around 9:00 PM, you get a phone call from Lt. Morgan.	接下來幾個小時，你和 Marie 沉浸在徹底的享樂之中，錯過了撲克局。大約晚上九點左右，你接到 Morgan 中尉打來的電話。
He wasn't amused. You were dismissed from Narcotics, and Dooley decided you'd pull foot patrol for the next 10 years. Next time, keep your mind on business and your hands to yourself!	他一點也不覺得好笑。你被踢出緝毒組，Dooley 決定讓你接下來十年都去跑徒步巡邏。下次記得，辦正事的時候管好你的手！
Alex, honey, I'm a busy man...	Alex，親愛的，我可是個大忙人……
Okay, okay, Whitey, you can go on in. Just be polite to these guys, okay? They're not exactly the understanding type...	好啦好啦，Whitey，你可以進去了。對這些人客氣點，好嗎？他們可不是什麼通情達理的類型……
Thanks for the advice, babe. See you later.	謝謝你的提醒，寶貝。待會見。
Given the suspicions regarding this establishment, not to mention your lack of a search warrant, you shouldn't enter unless invited.	考慮到這間店的可疑之處，更別提你手上根本沒有搜索票，沒受邀你不該擅自進去。
It's a door to a back room. It looks to be quite solid and secure.	這是一扇通往後間的門，看起來相當堅固牢靠。
You can feel your stomach starting to quiver just standing next to the barrel. You decide to leave it alone.	光是站在這個桶子旁邊，你就感覺胃在打顫。你決定別碰它。
The empty barrel says "Phenobenzotolouolohydrazytolmonoxide Crystals. May be harmful or fatal if swallowed. Exposure to skin may cause lesions, convulsions, hallucinations, and spontaneous combustion. Keep away from children and animals." Then you get to the fine print.	這個空桶子上寫著「Phenobenzotolouolohydrazytolmonoxide Crystals。如吞食可能造成傷害或致命。接觸皮膚可能引起潰瘍、抽搐、幻覺及自燃現象。請置於孩童與動物無法觸及之處。」接著你看到了那行小字。
"Safe for home and office use."	「居家及辦公室使用安全無虞。」
Don't go scrounging for Cheez Diddles in the bottom of the barrel, Bonds. Have some self-respect.	Bonds，別在桶底翻找 Cheez Diddles 餅乾屑了，好歹尊重一下自己。
The empty barrel says "Old Luncheon Cheez Diddles" on the side.	這個空桶子側面寫著「Old Luncheon Cheez Diddles」。
You steer clear of that barrel. You always hated dried fruit. It seems like such a cruel thing to do to perfectly good fruit.	你刻意避開那個桶子。你一向討厭果乾，總覺得把好好的水果搞成這樣未免太殘忍。
