Hey, thanks a lot!	嘿，真是謝了！
Hello.	你好。
'Bye.	再見。
You're welcome.	不客氣。
The F4%m11	F4%m11
The F6%m11	F6%m11
The F8%m11	F8%m11
The F10%m11	F10%m11
Sierra	Sierra
Action	動作
Sound On/Off       <F2>	音效 開／關       <F2>
Graphics Mode  <Ctrl-R>	畫面模式  <Ctrl-R>
Joystick/Mouse <Ctrl-J>	搖桿／滑鼠 <Ctrl-J>
Joystick       <Ctrl-J>	搖桿       <Ctrl-J>
Pause Game             	暫停遊戲             
Speed	速度
Normal 	正常 
Slow   	慢速   
Fast   	快速   
Fastest	最快
Slower 	較慢 
-------	-------
Adventure Game Development System	冒險遊戲開發系統
(C) 1987 by Sierra On-Line, Inc.	(C) 1987 Sierra On-Line, Inc.
Use this icon to manipulate an inventory items.	使用這個圖示操作物品欄中的物品。
This the help icon. Click this on others to see what they do.	這是說明圖示。點擊其他圖示即可查看功能。
Use this icon to select one of the inventory items.	使用這個圖示選取物品欄中的物品。
Use this icon to get a closer look and description of an inventory item.	使用這個圖示查看物品欄物品的近照與說明。
Use this icon when you are ready to return to the game.	準備回到遊戲時使用這個圖示。
Use this icon to select one of the available inventory items.	使用這個圖示選取可用的物品。
Use this icon to examine things in the area.	使用這個圖示查看附近的事物。
Use this Icon to quit the game.	使用這個圖示離開遊戲。
of	的
That is designed to fit only the locks of your unmarked car.	那只適用於無標誌車的車鎖。
It seems well-constructed.	它看起來製作得很牢靠。
