\n      Police Quest\n\n   in Pursuit of the\n      Death Angel\n\n      by Jim Walls\n\n  Ver 2.0G     12/3/87   \n	警察故事\n\n追捕死亡天使\n\nJim Walls 編劇\n\n版本 2.0G　1987 年 12 月 3 日
On the back of your hand?	寫在手背上嗎？
You can't write with a radio!	無線電不是拿來寫字的！
You see nothing special.	你沒看到任何特別的東西。
How can you do that?	你怎麼能那樣做？
Using what?	要用什麼？
%m8it.	%m8它。
You don't need 	你不需要
Just do that yourself.	那你自己做吧。
What would you do with it?	你想拿它做什麼？
 key is documented in%m17 Please refer to it for proper usage.	%m17 裡記載了鑰匙的使用方式，請參閱。
call	呼叫
Note: 	注意：
Once you tasted it, you wouldn't want it!	你一嚐就不會想要它了！
 your "LPD Policeman's Indoctrination Guide."	你的「LPD 警員入職指南」。
You shouldn't have done that!	你不該那樣做！
It's more valuable to you as it is!	它保持原樣對你更有價值！
Please refer to%m17	請參閱%m17
%m8to close it.	%m8關閉它。
%m87 Please review proper gun handling procedures in%m17	%m87 請參閱%m17 中的正確槍械操作程序。
%m87 You'll blow out a window!	%m87 你會把窗戶打爆的！
My, what a filthy mind you have!	天啊，你的思想真不純潔！
%m8to open it.	%m8打開它。
If you climb that, Sgt. Dooley will climb your back!	你要是爬那個，Dooley 警佐就會爬到你背上！
"Hey, thanks a lot!"	「嘿，非常感謝！」
But now you'll NEVER get it back!	但你現在永遠拿不回來了！
"Hello."	「哈囉。」
%m8to move it.	%m8移動它。
There's no one nearby.	附近沒有人。
That's not necessary at this time.	現在沒這個必要。
Save your writing for reports.	把你的文筆留到寫報告時再用吧。
You are wearing blue polyester and gabardine trousers, a long-sleeve shirt, and shiny black shoes.	你穿著藍色聚酯纖維與華達呢長褲、長袖襯衫，以及閃亮的黑鞋。
Not here!	不是這裡！
You're not close enough.	你離得不夠近。
You already have it.	你已經有那件物品了。
You don't have it.	你沒有那件物品。
Ok.	好。
Your clothes are stylish, but the pockets are empty.	你的衣服很有型，但口袋是空的。
Locals missed it!	本地隊沒接到！
Everybody missed!	大家都沒接到！
Captain Whipplestick comes on the air and advises you to review proper radio procedures in%m17	Whipplestick 隊長透過無線電提醒你，請參閱%m17 中的正確無線電程序。
Caught undressed in public, you spend the rest of your life in shame!	在公共場所被抓到沒穿衣服，你將在羞恥中度過餘生！
Thanks for playing\n"Police Quest."\n\nNext time, don't make\nthis mistake again!	感謝遊玩《警察故事》。\n\n下次別再犯同樣的錯！
Since you're dead...\n\nall you can do is restore a saved game or start over.	既然你已經死了……\n\n你只能讀取存檔或重新開始。
"'Bye."	「再見啦。」
"You're welcome."	「不客氣。」
There's no answer.	沒有回應。
What's a 	什麼是
%m50%w1?	%m50%w1？
%m50%w2?	%m50%w2？
%m50%w3?	%m50%w3？
%m50%w4?	%m50%w4？
%m50%w5?	%m50%w5？
%m50%w6?	%m50%w6？
%m50%w7?	%m50%w7？
%m50%w8?	%m50%w8？
You find them quite illuminating!	你覺得它們相當啟發人心！
It holds you up (which, in this case, is not a felony).	它支撐著你（這次不算重罪）。
Yep, it's still up there!	沒錯，它還在上面！
You are carrying a blank notebook.	你帶著一本空白筆記本。
Just a moment, please...	請稍候……
The F4%m11	F4%m11
The F6%m11	F6%m11
The F8%m11	F8%m11
The F10%m11	F10%m11
With what, Sonny?	要用什麼，Sonny？
Your beat covers from Palm Street to Parkway Drive, and from River Road to Clearwater Drive.	你的巡邏區域從Palm 街到Parkway 大道，從River 路到Clearwater 路。
Your briefcase IS closed.	你的公事包確實關著。
A police officer without a weapon, is like being...	警察沒有武器，就像是……
...up a creek without a paddle!	……沒有槳卻被困在溪流裡！
As Chief Whipplestick would say, "A cop without ammo is like a bullet without powder!"	正如 Whipplestick 局長所說：「沒有彈藥的警察，就像沒有火藥的子彈！」
These walls do a fine job of holding up the ceiling.	這些牆把天花板支撐得很好。
Do you have a kidney problem?	你有腎臟問題嗎？
My gawd! Do you have a weak sphincter?	我的天！你的括約肌很無力嗎？
You don't have time to relax.	你沒時間休息。
You can't see the Help Screen right now. Try again elsewhere.	你現在看不到說明畫面。換個地方再試。
%m8to do that.	%m8那樣做。
You don't have them.	你沒有那些東西。
Fastest%m85	最快%m85
Fast%m85	快%m85
Normal%m85	正常%m85
Slow%m85	慢%m85
 speed.	速度。
Now?!	現在？！
As you blow off your right leg, you resolve that, in the future, you will DRAW your weapon before you FIRE it!	右腿被你自己轟飛後，你決定今後一定要先拔槍，再開槍！
Go where?	要去哪裡？
You rip out the speed loader and load your weapon.	你拔出快速裝彈器，替武器裝填。
It is loaded. You have %v34 shells left.	已經裝填完畢。你還有 %v34 發子彈。
What are you going to load? %m93	你要裝填什麼？%m93
You're unarmed.	你手無寸鐵。
Click! (Dry firing an empty gun is good practice for proper grip.)	喀嚓！（對空槍扣扳機是練習正確握槍的好方法。）
Why do that?	為什麼要那樣做？
You have no ammunition.	你沒有彈藥。
Nah. Just wear it.	不用，直接穿上就好。
An interesting approach -- but fatal!	方法挺有意思——但會致命！
What are you going to do? Scream, and pray that Dispatch will hear you?	你打算怎麼辦？尖叫，然後祈禱調度台聽得見？
Handling your weapon while driving is dangerous.	開車時操作武器很危險。
Your backups ARE listening.	你的支援人員確實正在聽。
This car has a tape player, but no police radio.	這輛車有卡帶播放器，但沒有警用無線電。
\n\nYou've been playing for\n	\n\n你已經玩了\n
Notebook? What notebook?	筆記本？什麼筆記本？
You don't have one.	你沒有那個。
Jim Walls, Greg Rowland, Al Lowe, Mark Crowe, Scott Murphy, Ken Williams, Jerry Moore, Jeff Stephenson, Chris Iden and Bob Heitman.	Jim Walls、Greg Rowland、Al Lowe、Mark Crowe、Scott Murphy、Ken Williams、Jerry Moore、Jeff Stephenson、Chris Iden、Bob Heitman。
%m1%m103%v14 days, %v13 hours, %v12 minutes and %v11 seconds.\n	%m1%m103%v14 天、%v13 小時、%v12 分鐘、%v11 秒。\n
%m1%m103%v13 hours, %v12 minutes and %v11 seconds.\n	%m1%m103%v13 小時、%v12 分鐘、%v11 秒。\n
%m1%m103%v12 minutes and %v11 seconds.\n	%m1%m103%v12 分鐘、%v11 秒。\n
Sierra	Sierra
About PQ  	關於《警察故事》  
Help  <F1>	說明  <F1>
File	檔案
Save     <F5>	儲存     <F5>
Restore  <F7>	讀取     <F7>
-------------	-------------
Restart  <F9>	重新開始  <F9>
Quit  <Alt-Z>	離開  <Alt-Z>
Action	動作
Inventory      <Tab>	物品欄      <Tab>
See Object  <Ctrl-S>	查看物品  <Ctrl-S>
Dispatcher  <Ctrl-D>	調度中心  <Ctrl-D>
Special	特殊
Sound On/Off       <F2>	音效 開／關       <F2>
Graphics Mode  <Ctrl-R>	畫面模式  <Ctrl-R>
Joystick/Mouse <Ctrl-J>	搖桿／滑鼠 <Ctrl-J>
Joystick       <Ctrl-J>	搖桿       <Ctrl-J>
Pause Game             	暫停遊戲             
Speed	速度
Normal 	正常 
Slow   	慢速   
Fast   	快速   
Fastest	最快
-------	-------
Slower 	較慢 
Give away your handcuffs?	把手銬送人？
No way!	想都別想！
Adventure Game Development System	冒險遊戲開發系統
(C) 1987 by Sierra On-Line, Inc.	(C) 1987 Sierra On-Line, Inc.
%g88	%g88
load gun	裝填槍械
draw gun	拔槍
fire gun	開槍
As you look into the car, you wonder, "Can this be happening?"	你望向車內，心想：「這種事真的會發生嗎？」
The young lady has a smile that could melt the polar ice caps, beautiful flashing eyes, gorgeous hair, and her unbuttoned blouse makes it obvious she has nothing to hide!	年輕女子的笑容足以融化極地冰帽；她雙眼明亮、秀髮動人，而解開的襯衫更清楚說明她沒什麼好隱瞞的！
In a soft, seductive voice she murmers, "Why, officer! I'm just sure I didn't do anything wrong."	她用輕柔誘人的聲音喃喃說：「警官！我確定自己沒有做錯任何事。」
"I'm truly sorry, sir. I honestly did not even see that red light. Is there anything I can do to convince you to let me off? And, I DO mean anything!"	「真的很抱歉，長官。我確實沒看到紅燈。要怎樣你才肯放過我？任何事都可以！」
You quickly trade your integrity for a shot at cheap thrills and torrid sex!	你很快就拿自己的操守換取廉價刺激與火熱性愛！
"Who cares?!"	「誰在乎啊？！」
"My phone number is 555-4369," she says with a smile, "Give me a call some time."	她笑著說：「我的電話是 555-4369，有空打給我。」
Being the veteran you are, you overcome temptation and stare the young lady straight in the eyes, "May I please see your driver's license, Ma'am?"	身為老練警員，你克服誘惑，直視年輕女子的雙眼說：「小姐，可以請你出示駕照嗎？」
"Again??"	「再一次？？」
She's hopping mad as she yells, "Oh, you cops are all alike! All you care about is making your quotas! Well, come on, snap it up. I am in a hurry, Mr. Bigshot Traffic Cop!"	她氣得跳腳，大喊：「你們警察都一個樣！只在乎達成配額！快點，我趕時間，大牌交通警察先生！」
"Guys like you make me want a big dip of snuff! You never give a decent girl a break! You just hassle people!"	「你這種人讓我想大嚼一口鼻煙！你從不放過正經女孩！只會找人麻煩！」
You can't write a ticket without your pinch book.	沒有開單簿就不能開罰單。
What a pair of headlights!!	好大的車頭燈！！
She verbally pounds you again, "Officer, did your mother have any children that lived?"	她又用話語痛擊你：「警官，你母親有沒有生下活著的孩子？」
You must see the violator's driver's license in order to write a ticket.	要開罰單，必須先查看違規者的駕照。
