These are lot more effective when used in conjunction with a weapon.	這些物品搭配武器使用時，效果會好得多。
Those only work in the lock of your personal vehicle.	那些只能用在你私人車輛的車鎖上。
Don't know what you had in mind. That's designed to be used only in your computer.	不知道你在想什麼。那是專供電腦使用的。
Those items won't work together.	那些物品不能一起使用。
That's an interesting idea.	這主意挺有意思。
That's not necessary.	沒必要這麼做。
That won't do anything helpful.	那樣做沒有幫助。
Listen, pal, frivolous use of your piece is grounds for termination, not to mention potential indictment.	聽著，夥計，隨意亂用配槍足以讓你丟掉工作，更別提可能遭到起訴。
Your cuffs have a specific application. That's not one of them.	手銬有特定用途；這不是其中之一。
That won't further your cause.	那樣無法幫你達成目的。
That will only work in the door to your hotel room.	那只能用在你飯店房間的門上。
You'll want to save these spiffy duds for your own use.	這套漂亮衣服還是留給自己穿吧。
That's not proper treatment of someone's personal effects.	那不是處理他人私人物品的正當方式。
Keep that stowed unless the you're going to use it properly.	除非要正確使用，否則把它收好。
Hey! Hey! Hey! No grafitti! You're an officer of the law. Set a good example.	嘿！嘿！嘿！不准塗鴉！你是執法人員，要做好榜樣。
That's meant for your patrol car's ignition switch only.	那只適用於巡邏車的點火開關。
That's not a proper application for your radio extender.	那不是無線電延伸器的正確用途。
It's not unlike talking to a brick wall.	這就像對著磚牆說話一樣。
That's improper procedure. Try a different approach.	程序不正確。換個方法試試。
You can't be pasting tickets any place you want.	你不能想在哪裡開單就在哪裡開單。
Those keys are only meant to be used in the undercover car's ignition.	那些鑰匙只能用於便衣車的點火開關。
Pretty carefree behavior for a person drawing a salary from a police department.	領警察局薪水的人，這種行為未免太隨便了。
The warrant has a very specific purpose; that's not it.	這張令狀有非常明確的用途；不是拿來做這件事的。
You quickly slide the bullets into their respective chambers.	你迅速把子彈一一推入彈巢。
That's not something you need to do.	你不需要這麼做。
Just exactly where did you think that would fit?	你以為那究竟能裝在哪裡？
That's not the way to load your gun.	那不是裝填槍械的方法。
Simply having the gun as your "active" inventory item is sufficient to consider it drawn.	只要把槍設為目前使用的物品，就算已經拔槍。
Cuffing yourself will make it difficult to do much of anything.	把自己銬起來後，很多事都很難做。
It's you, Officer Sonny Bonds, proud member of the Lytton Police Department.	你就是 Sonny Bonds 警官，為身為 Lytton 警局的一員而自豪。
Hey, watch it! You could put an eye out with that thing!	嘿，小心！那東西可能會戳瞎人的眼睛！
That's not a necessary step at this point.	現在還不需要這一步。
That won't help you now.	現在那幫不了你。
