%s2 bets %v236.	%s2 下注 %v236。
%s2 passes.	%s2 過牌。
%s2 raises %v206.	%s2 加注 %v206。
%s2 stands.	%s2 不換牌。
How many $10 chips (%v207-%v152)? 	要買幾枚 $10 籌碼(%v207-%v152)？
%s2 folds.	%s2 棄牌。
%s2 takes %v158 cards.	%s2 拿了 %v158 張牌。
How many cards (0-3)? 	要換幾張牌(0-3)？
Which card to discard (1-5)? 	要丟棄哪張牌(1-5)？
First card to discard (1-5)? 	第一張要丟棄的牌(1-5)？
Second card to discard? 	第二張要丟棄的牌？
Last card to discard? 	最後一張要丟棄的牌？
You cautiously follow "Mr. Jessie Bains" up the flight of stairs.	你小心翼翼地跟著「Jessie Bains 先生」走上樓梯。
You cautiously follow Jessie Bains up the flight of stairs.	你小心翼翼地跟著 Jessie Bains 走上樓梯。
The door is locked.	這扇門鎖著。
This door is labeled "Basement."	這扇門標示著「地下室」。
This door is labeled "Cocktail Lounge."	這扇門標示著「雞尾酒廊」。
This door is labeled "Second Floor."	這扇門標示著「二樓」。
You have no key to fit this door.	你沒有能開這扇門的鑰匙。
Just then, the telephone rings in the next room.	就在這時，隔壁房間的電話響了。
Bains draws his gun, and aims it directly at you! "Hold it right there, PIG!" he shouts. "It seems one of our card-playing comrades recognizes your ugly mug from a minor misunderstanding he had with the heat a while back. You're about to find out just how much I hate cops!"	Bains 拔出槍，直接對準你！「就地不准動，臭條子！」他大吼。「看來我們有位牌友認出了你這張醜臉，他之前跟條子有過一點小誤會。你馬上就會知道我有多恨警察！」
Just then, a knock on the door diverts Bains' attention!	就在這時，一陣敲門聲分散了 Bains 的注意力！
You dive to the floor and struggle to remove the derringer from your cane. A loud "CRASH" and the door flies open. Your backups have arrived!	你猛然撲倒在地，奮力從手杖裡拔出小型手槍。一聲巨響「碰！」，門被撞開——你的支援抵達了！
Bains is taken down in the barrage of gunfire.	Bains 在一陣槍林彈雨中應聲倒地。
In the twinkling of an eye, the shootout is over. Sprawled unconcious on the carpet with a near-fatal belly wound, lies Jessie Bains, "the Death Angel!"	眨眼間，槍戰結束。Jessie Bains——『死亡天使』——腹部中彈瀕死，昏迷不醒地倒在地毯上。
You step up to the bar and peruse the selection of beverages.	你走到吧台前，端詳著各式飲品。
Unfortunately, you transmitted your location to your backups a few seconds too late. Bains has been stopped, but you died in the line of duty.	很遺憾，你把位置通報給支援的時間晚了幾秒。Bains 雖然被制伏了，但你也因公殉職。
"Well, Mr. Banksten," says Bains, "I have a little proposition for you that I know you'll love."	Bains 說：「這樣吧，Banksten 先生，我有個提議，我知道你一定會喜歡。」
"I'm interested," you reply.	你回答：「我有興趣。」
"Fix yourself a drink while I answer the phone," says Bains.	Bains 說：「我去接個電話，你先幫自己倒杯酒。」
You whisper a soft "Room 404" into your "pen," to tip your backups of your location.	你對著你的「鋼筆」輕聲低語「404 號房」，藉此把位置通報給支援。
You hope they have time to respond.	你希望他們還來得及趕到。
You whisper a soft "Room 404" into your empty shirt pocket.	你對著空空的襯衫口袋輕聲低語「404 號房」。
Unfortunately, your failure to transmit your location has resulted in your untimely demise.	很遺憾，你未能通報位置，導致你英年早逝。
Don't bother. You'd just be spinning your wheels!	別費事了，你只是在白費力氣！
There is no answer.	沒有人接聽。
Someday you'd like to own a home in a neighborhood like this.	總有一天，你希望能在這樣的社區裡擁有一棟房子。
This is private property. You have no business here.	這裡是私人產業，你不該在這裡逗留。
Much urine, from many dogs, has taken its toll on the paint.	不少狗在這上頭撒過尿，油漆早已慘不忍睹。
You can't see it, but believe it or not, there is a light at the top of the pole.	你看不到，但信不信由你，電線桿頂端裝著一盞燈。
It's just an old, abandoned disco, left over from another Sierra game.	這只是一間老舊廢棄的迪斯可舞廳，是另一款 Sierra 遊戲留下來的東西。
Fresno 41 miles.	Fresno 41 英里。
Looking out over the ocean, you see perfect ten- to twelve-foot "peelers" sliding out of mirror glass, and realize this is a rotten day to be working.	眺望海面，你看到十到十二呎高、從如鏡般平滑的海面捲起的完美『peelers』浪頭，這才驚覺今天上班簡直浪費了一個絕佳衝浪日。
c d	c d
Upon your arrival at the scene of the accident, you observe a group of bystanders gawking at a green sedan that attempted to carve its own door in the side of a brick building.	抵達事故現場後，你看到一群旁觀者盯著一輛綠色轎車——它似乎想在磚牆上硬生生撞出一扇門。
This accident looks serious! Where are you going?	這起事故看起來很嚴重！你要去哪裡？
You already have her telephone number, don't go back to make an even bigger fool of yourself!	你已經拿到她的電話號碼了，別再回去出更大的洋相！
"%m6. Go ahead."	「%m6，請講。」
Your radio crackles, "	你的無線電傳出雜音：「
You key your radio, "	你按下無線電：「
The officers standing by at Cotton Cove request, "Respond Code-2."	在 Cotton Cove 待命的警員請求：「請以 Code-2 前往支援。」
%m4%m68 respond to Cotton Cove. Officers on scene need ID of 187 victim."	%m4%m68 前往 Cotton Cove。現場警員需要確認 187 案被害人身分。」
%m4%m68, the Coroner has been dispatched."	%m4%m68，驗屍官已經派出。」
%m19north	%m19北
%m19northeast	%m19東北
%m19east	%m19東
%m19southeast	%m19東南
%m19south	%m19南
%m19southwest	%m19西南
%m19west	%m19西
%m19northwest	%m19西北
traveling 	朝 
%m6,	%m6，
Parkway Drive	Parkway 大道
1st Street	第一街
2nd Street	第二街
3rd Street	第三街
4th Street	第四街
5th Street	第五街
6th Street	第六街
7th Street	第七街
8th Street	第八街
9th Street	第九街
10th Street	第十街
Clearwater Drive	Clearwater 路
Palm	Palm
Oak	Oak
Fig	Fig
Peach	Peach
Rose	Rose
Lilly	Lilly
Poppy	Poppy
River Road	River 路
%m5%s2 %s3 on Freeway 41."	%m5%s2 %s3，位於 41 號高速公路上。」
%m5%s2 %s3 under Freeway 41."	%m5%s2 %s3，位於 41 號高速公路下方。」
%m5%s2 %s3 on %s4."	%m5%s2 %s3，位於 %s4。」
%m5%s2 %s3 on %s5."	%m5%s2 %s3，位於 %s5。」
%m5%s2 %s3 at intersection of %s4 and %s5."	%m5%s2 %s3，位於 %s4 與 %s5 路口。」
%m5%s2 %m53 traffic accident.	%m5%s2 %m53 交通事故。
%m5%s2 %m51"OHMYMG."	%m5%s2 %m51「OHMYMG」。
%m5%s2 %m52"OHMYMG."	%m5%s2 %m52「OHMYMG」。
%m4Currently registered, no wants."	%m4目前已登記，沒有通緝紀錄。」
%m4%s2 dispatch copies 10-97."	%m4%s2 調度收到，10-97。」
run vehicle, check on license 	查詢車輛，核對車牌 
suspect license 	嫌疑車牌 
at scene of	位於現場：
%m5%s2 %m51"UL6942."	%m5%s2 %m51「UL6942」。
%m4%s2 %m52"UL6942."	%m4%s2 %m52「UL6942」。
%m4Registered to 1979 Cadillac, junked in 1983."	%m4登記於一輛 1979 年 Cadillac，已在 1983 年報廢。」
"%s2 approach with caution."	「%s2，小心接近。」
%m5%s2 %m51"PRGRMR1."	%m5%s2 %m51「PRGRMR1」。
%s2 %m52"PRGRMR1."	%s2 %m52「PRGRMR1」。
Your radio crackles, "83-32, repeating 10-20 of 11-83 is southwest corner of Fig and 4th."	你的無線電傳出雜音：「83-32，重複一次，11-83 的 10-20 位置在 Fig 街與第四街的西南角。」
%m4%s2 personalized plate 'PRGRMR1' appears to be currently registered."	%m4%s2 個人化車牌『PRGRMR1』目前看起來有效登記。」
%m5%s2 one%m64	%m5%s2 一名%m64
%m5%m68 two%m64	%m5%m68 兩名%m64
 in custody, en route to jail."	 已拘留，正解送看守所。」
"%s2 request subject check on Don Colby, Charles, Ocean, Lincoln, Boy, Yellow."	「%s2 請求核對對象：Don Colby，字母依序是 Charles、Ocean、Lincoln、Boy、Yellow。」
%m70%s2, possible hit, Paul D. Colby, DOB 12/8/61, 5'8", 155 pounds. Served 18 months State Penitentiary '85-'87 for assault on a police officer and possession and sale of a controlled substance. Three year probation, still active."	%m70%s2，查到疑似吻合對象：Paul D. Colby，出生日期 1961 年 12 月 8 日，身高 5呎8吋，體重 155 磅。曾於 1985 至 1987 年間，因襲警及持有並販售毒品服刑 18 個月，目前仍在三年觀察期內。」
83-Nora-10,	83-Nora-10，
Your 'Vette doesn't have a police radio.	你的 Corvette 沒有配備警用無線電。
Dispatch responds, "	調度回覆：「
%m5%s2 10-20 at %s3."	%m5%s2 10-20 位置在 %s3。」
Blue Room	Blue Room
in pursuit of	追緝
%m5%s2%m80 attempting to overtake light blue Cadillac, suspect vehicle.	%m5%s2%m80 試圖攔截淺藍色 Cadillac，嫌疑車輛。
%m5%s2%m80  attempting to overtake and stop light colored sedan, possible DUI."	%m5%s2%m80  試圖攔截並攔停淺色轎車，疑似酒駕。」
%m5%s2%m80 bright red sports car.	%m5%s2%m80 亮紅色跑車。
That would be unsafe while driving!	開車時這麼做並不安全！
%m5%s2 Dispatch, %s2 is 10-98 from the scene."	%m5%s2 調度，%s2 已離開現場，10-98。」
"10-19 the office, per Lieutenant Morgan."	「10-19 返回警局，這是 Morgan 中尉的指示。」
