It's a sign for one of newer businesses in town, Frankie's Shoes. They've got a good location.	這是鎮上新開的店家之一——Frankie's Shoes 的招牌。地點選得不錯。
Shop for shoes another time, Bonds.	Bonds，改天再來買鞋吧。
You do notice one pair of shoes which would work as babe killers during your off hours. But not at $125 a pair!	你注意到有一雙鞋，下班後穿去把妹肯定殺傷力十足。但一雙 125 美元，還是算了吧！
Given the predominance of pets in the area, you think better of handling the fire hydrant.	看這一帶寵物這麼多，你還是別去碰消防栓比較好。
A fire hydrant for upscale poodles to hose down.	一座專供高級貴賓犬撒尿的消防栓。
More than one rookie has had to learn that getting a driver's "license" doesn't refer to the plate itself.	不只一個菜鳥搞不清楚，查「駕照」查的不是車牌本身。
You've already noted and called in the license plate number.	你已經記下車牌號碼並通報過了。
The license plate reads, "AWYLD1." Standard operating procedure calls for you to radio this in to check for wants and warrants.	車牌號碼是「AWYLD1」。標準作業程序要求你用無線電通報查核通緝與拘票紀錄。
DD478965 Tawnee Helmut 2927 Puffhoof Ct. Lytton, CA	DD478965 Tawnee Helmut 2927 Puffhoof Ct. 加州 Lytton
Sex-F Hair-Blond Eyes-Blue	性別-女 髮色-金 眼睛-藍
Do your shopping some other time, officer.	警員，改天再來買東西吧。
It's the entrance to the Market.	這是市場的入口。
It's Tony's Market, a hothouse greengrocer.	這是 Tony's Market，一間溫室栽培的蔬果店。
You have duties to perform, Bonds. Stay out of the shops.	Bonds，你還有勤務在身，別逛店家了。
That would be more effective if you were out of your patrol car.	要是你人在巡邏車外，這樣做會更有效果。
That's right! Go on back to your sty, pig!	沒錯！滾回你的豬圈去，臭條子！
Go roll around in the mud with your good ol' boy pals!	去跟你那些狐群狗黨在泥巴裡打滾吧！
Kiss your job goodbye, pig! OINK OINK OINK!	跟你的工作說掰掰吧，臭條子！哼哼哼！
It's times like this that make you wonder why you bother. You're doing your job; you're trying to discourage reckless driving. Sometimes it seems it'd be a lot easier to let these people kill themselves off.	遇到這種時候，你不禁懷疑自己何苦。你只是在盡本分，想阻止危險駕駛。有時候你覺得，乾脆讓這些人自己把自己搞死，還輕鬆得多。
Hey, you forgot to return the soft-spoken young woman's license.	嘿，你忘了把駕照還給那位輕聲細語的年輕女子。
It's your patrol car.	這是你的巡邏車。
You don't have time to buy fruits and veggies right now, Bonds, but your mother would be proud of you.	Bonds，你現在沒空買水果蔬菜，不過你媽要是知道你想買，一定會很欣慰。
All kinds of fresh produce are displayed in front of the market.	市場前面陳列著各式各樣的新鮮農產品。
It's like talking to a vegetable...and you think to yourself that, ironically, you've done that more than a few times in this line of work.	跟這些菜講話，感覺就像在跟植物講話……你心想，諷刺的是，幹這行以來你還真沒少做這種事。
The red awning shields the uppa-crust shoppers in this part of town from such indelicate weather as sun and rain.	紅色的遮陽棚，替這一帶的上流顧客擋住日曬雨淋這種不夠優雅的天氣。
Sitting on the curb is dangerous, Bonds. Someone might run over your feet.	Bonds，坐在路緣很危險，可能會有人輾過你的腳。
The red curb means you can't park here. You know that, you're a cop!	紅色路緣代表這裡不能停車。你自己是條子，這你應該知道！
It's one of the streets you patrol. This is one of the nicer ones.	這是你巡邏路線上的其中一條街，算是比較體面的一條。
It feels solid, roughly-textured, reassuring...like a good sidewalk should.	摸起來堅實、有點粗糙的質感，讓人安心……一條好人行道就該是這樣。
It's gray. It's concrete. It's the sidewalk.	灰灰的，水泥做的，是人行道。
Dispatch, this is 83-32. Run wants on plate number AWYLD1.	調度，這裡是 83-32。請查詢車牌 AWYLD1 有無通緝紀錄。
Plate number AWYLD1 registered to one Tawnee V. Helmut. No wants. No warrants.	車牌 AWYLD1 登記在 Tawnee V. Helmut 名下。無通緝，無拘票紀錄。
The license number of the vehicle might prove helpful.	這輛車的車牌號碼或許派得上用場。
Apparently, dispatch has a better memory than you. Don't clutter the airwaves unless you've got new information for them.	看來調度中心的記性比你好。除非有新資訊要通報，否則別佔用無線電頻道。
Well, ah, Miss, I'll just let you off with a warning this time. We all make mistakes now and then.	呃，這樣吧，小姐，這次我就先口頭警告你。人難免都會犯錯。
Oh, Sonny! Thank you! Just to show my appreciation, let me give you something...	喔，Sonny！謝謝你！為了表達謝意，讓我給你一點回報……
I'd love to give it to you here, honey, but it would be so much more fun in private. My phone number is 555-7588. I'll be waiting!	親愛的，我很想現在就給你，不過私底下會更有趣。我的電話是 555-7588，等你喔！
She blows you a kiss, and your legs turn to rubber.	她朝你飛了個吻，你的雙腿頓時軟成一團。
Have a nice day, Miss.	祝你有美好的一天，小姐。
You too, Studmuffin!	你也是喔，帥哥！
As you write out the ticket a strange transformation comes over Tawnee. It's pretty scary. Just when you think her face couldn't get any redder, she starts to scream.	就在你開罰單的時候，Tawnee 突然起了詭異的變化，相當嚇人。你以為她的臉不可能再更紅了，結果她開始尖叫起來。
You little nazi! All you care about is making your quota! You don't care about PEOPLE! You just joined the force so you could carry a gun and feel like a man! You worthless little sack of brass buttons! Get your butt out of my sight, Officer Scummy Bonds!	你這個小納粹！你只在乎湊業績！你根本不在乎「人」！你會加入警隊，不過是想背把槍、耍男子氣概而已！你這個一文不值的銅釦子廢物！給我滾出我的視線，Scummy Bonds 警員！
If you think I'm gonna pay a red cent of this ticket, you're dead wrong! What's your badge number? I'm gonna report you for harassment! They're gonna hang your butt out to dry! By the time I'm through with you, you won't be able to get a job as a rent-a-cop at a trailer park!	你要是以為我會付這張罰單一毛錢，那你就大錯特錯！你的警徽號碼是幾號？我要去告你性騷擾！他們會把你晾在那裡不管！等我整完你，你連在拖車公園當保全的工作都找不到！
Go on! Beat it, you stupid piece of white trash! GET OUT OF MY SIGHT!	滾啦！滾遠一點，你這個蠢貨垃圾白人！給我滾出我的視線！
SHOVE IT, PIG!	去死啦，臭條子！
I'm sorry, Miss, but running stop signs is very dangerous. I'd like to let you off with a warning, but I can't.	抱歉，小姐，但闖停車標誌非常危險。我是很想只給你口頭警告，但不行。
Warning	警告
Ticket	開罰單
What you wouldn't do for a car like THIS one. Right. On your salary, it'd take you a year just for the down payment.	為了這種等級的車，你什麼都願意做吧。是啦，以你的薪水，光頭期款就得存一年。
It's a beautiful classic Thunderbird. That thing must be worth a fortune.	這是一台漂亮的經典 Thunderbird，那玩意肯定值不少錢。
The name 'stained glass' isn't an invitation for you to place your grubby mitts on it.	「彩繪玻璃」這名字，不代表歡迎你用髒手去摸。
Nice windows. Too bad the place will probably be closed in six months like every other small business that pops up in this town.	窗戶很漂亮。可惜這家店大概撐不過半年就會關門，跟鎮上冒出來的其他小店一樣。
Okay, she's gorgeous, but isn't that just a tad unprofessional?	好啦，她是很正沒錯，但你這樣是不是有點不夠專業？
This isn't "Lunatic Cop", it's "Police Quest". Stop acting like a jerk.	這不是《瘋狂條子》，這是《Police Quest》。別再耍白痴了。
Incredible. Even Tawnee's driver's licence picture is pretty. After a moment of contemplation, you return the license to her.	真不可思議，連 Tawnee 的駕照照片都很正。思索片刻後，你把駕照還給她。
Your knees turn to water as the gorgeous young woman locks eyes with you. Her sweet, full lips curve into a smile that could turn icewater to steam.	這位美麗的年輕女子與你四目相接，你的雙膝頓時發軟。她那甜美豐潤的嘴唇彎起一抹笑容，彷彿能把冰水都蒸發成氣。
Your knees turn to water as the gorgeous young woman locks eyes with you. Her sweet, full lips curve into a smile that could turn icewater to steam. She lowers her eyelids, and whispers;	這位美麗的年輕女子與你四目相接，你的雙膝頓時發軟。她那甜美豐潤的嘴唇彎起一抹笑容，彷彿能把冰水都蒸發成氣。她垂下眼瞼，輕聲說：
