A lot of your friends are on the Grunters. Leave the notice up; it may be the only 15 minutes of fame these officers ever get.	很多朋友都在「咕嚕隊」。把通知留著吧，這可能是這些警員唯一能出名十五分鐘的機會。
A message from Lieutenant Morgan, congratulating the Lytton Grunters on their recent victory over the Steelton Sows. You recall reading about the astounding victory in the latest issue of the Gazette.	這是 Morgan 中尉恭賀 Lytton「咕嚕隊」最近擊敗「鋼城母豬隊」的訊息。你記得自己在最新一期《公報》讀過那場驚人勝利。
This is one of the few important memos on the board! Best to leave it where it is.	這是佈告欄上少數重要的備忘錄之一！最好讓它留在原處。
A notice reminding all officers to replace their standard-issue LPD-29 map of Lytton with the new one in the Gazette.	這張通知提醒所有警員，把標準配發的 LPD-29 Lytton 地圖換成《公報》附的新地圖。
It's the elevator button, grimy but still functional.	這是電梯按鈕，雖然髒兮兮的，還是能用。
No, no, no. Push the button, Bonds.	不、不、不。按按鈕，Bonds。
The elevator numbers tell you which floor the elevator is on.	電梯上的數字顯示目前所在樓層。
Knocking on the doors won't make it work any faster. Just press the button.	敲門不會讓它快一點。按按鈕就好。
The elevator doors are closed.	電梯門關著。
This door leads to the Evidence Lockup.	這扇門通往證物保管室。
Paperwork?! NOW?! You're off duty. Who wants to do paperwork when they're off duty? Do it on Police time.	文書工作？！現在？！你已經下班了。誰想在下班後處理文書？上班時間再做。
Summoning up your best grammar, you write a memo to Lt. Morgan requesting a transfer to Narcotics.	你使出最好的文法，寫了一份備忘錄給 Morgan 中尉，申請調往緝毒組。
The memo indicates that applications are being accepted for a position in the Narcotics Unit.	備忘錄表示緝毒組正在接受職位申請。
You'd better get changed and get your butt to the Blue Room, Sonny. You're supposed to be at Jack's surprise party!	你最好換好衣服，趕快到藍房去，Sonny。你還得參加傑克的驚喜派對！
Sonny! Dooley wants you in his office, pronto! He's foaming about something...what'd you do this time?	Sonny！Dooley 要你立刻去他的辦公室！他氣得直冒泡……你這次又做了什麼？
Hey, Sonny, Dooley wasn't kidding when he said he wanted to see you ASAP. He's having conniptions. You better move it.	嘿，Sonny，Dooley 說要見你可不是開玩笑。他快抓狂了。你最好動作快點。
Hmmm...a chance to do something other than routine patrol. Maybe I should fill out one of those Narcotics Unit transfer applications.	嗯……終於有機會做點例行巡邏以外的事。也許我該填一份緝毒組調職申請。
You'd better fill out one of those transfer forms soon. This opportunity's too good to miss. Not much room for advancement in a small town like Lytton.	你最好快點填一份調職表。這個機會不能錯過。在 Lytton 這種小城，升遷空間可不大。
You don't have any need for those patrol car keys nor should you remove them from the premises when off duty, Bonds.	你不需要那些巡邏車鑰匙，而且下班時也不該把它們帶離警局，Bonds。
Since you are now a member of the Narcotics Unit, you won't have any need for those patrol car keys. Returning them will allow someone else to use the unit.	你現在已經是緝毒組成員，不再需要那些巡邏車鑰匙。把鑰匙歸還，其他人才能使用這輛車。
You're off duty and shouldn't be leaving the station with departmental property. Return the radio extender, Bonds.	你已經下班，不該帶著警局財產離開。把無線電延伸器交回來，Bonds。
You better get your radio extender. No good officer should leave their station without one.	你最好拿上無線電延伸器。稱職的警員不該不帶它就離開警局。
You'd better not leave now! You're almost late for your briefing as it is.	你現在最好別走！照目前的情況，你的簡報已經快遲到了。
Hey! Remember what Laura said about Narcotics. You'll be passing up a big opportunity for advancement.	嘿！記得 Laura 說過的緝毒組。你會錯過一個大好的升遷機會。
Hi, Sonny. Did you fill out that request form yet? Morgan wants to make a decision soon.	嗨，Sonny。你填好那份申請表了嗎？Morgan 很快就要做決定。
How's it goin, Sonny?	最近過得怎樣，Sonny？
You don't have time to chat, Bonds.	你沒時間聊天，Bonds。
Seems like a good, solid hallway.	看起來是一條結實可靠的走廊。
This is the main hallway, which conveniently links several rooms together allowing you access to them all with a minimum of effort.	這是主走廊，方便地連接數個房間，讓你不用費多少力氣就能通往各處。
This door leads to the briefing room.	這扇門通往簡報室。
This door leads to Sgt. Dooley's office.	這扇門通往 Dooley 警佐的辦公室。
The doors are locked.	門鎖著。
You take the keys for your patrol car.	你拿起巡邏車鑰匙。
You already have the key to the squad car.	你已經有巡邏車的鑰匙了。
The board holds keys to the department's cars.	這面板上掛著警局各輛車的鑰匙。
This door leads to the locker room.	這扇門通往更衣室。
That radio is assigned to another officer.	那台無線電配給其他警員了。
One radio extender is plenty.	一台無線電延伸器就夠了。
The radios provide communication with the station when you're away from the car radio or you're patrolling on foot.	當你離開車上的無線電，或徒步巡邏時，無線電能讓你和警局保持聯絡。
You take your radio.	你拿起自己的無線電。
The radio transmitters are kept here.	無線電發射器放在這裡。
You don't have time to be sitting around, Bonds. There's work to be done!	你沒時間坐在這裡閒晃，Bonds。還有工作要做！
You take the towel, then remove your uniform and hang it in the locker.	你拿起毛巾，脫下制服掛進置物櫃。
You take the towel and remove your street clothes, placing them in the locker.	你拿起毛巾，脫下便服放進置物櫃。
These are the keys to your Camaro.	這是你的 Camaro 車鑰匙。
All patrol officers MUST wear a regulation uniform when on duty. Wait till you're off duty to put on your street duds.	所有巡邏警員值勤時都必須穿著規定制服。下班後才能換上便服。
These are your street clothes.	這是你的便服。
