This door is locked.	這扇門上鎖了。
It IS open.	它確實是開著的。
It IS closed.	它確實是關著的。
Something about the interior of this car just doesn't feel right.	這輛車的內部有些地方就是讓人覺得不對勁。
You look at the floorboard, the seats, and even under the seats, but you find nothing.	你查看腳踏板、座椅，甚至座椅下方，但什麼也沒找到。
The door IS closed.	門確實關著。
There's nothing special about the door.	這扇門沒什麼特別的。
Say! The doorjamb of the suspect's vehicle is black instead of light blue!	等等！嫌犯車輛的門框是黑色，不是淺藍色！
A closer examination of the doorjamb reveals the vehicle's VIN plate. A quick rub with your thumb uncovers its number: C03456218!	仔細檢查門框後，你找到車輛的 VIN 銘牌。用拇指迅速擦拭後，露出號碼：C03456218！
You must first locate its VIN.	你必須先找到它的 VIN。
Shortly, Dispatch returns with...	不久後，調度台回覆……
"Suspect vehicle is confirmed 10851! Lytton PD holds a signed stolen report on this vehicle."	「已確認嫌犯車輛是 10851！Lytton 警察局有這輛車的正式失竊報案紀錄。」
"Vehicle information, 1983 black Cadillac deVille."	「車輛資料：1983 年黑色 Cadillac deVille。」
"Registered owner, Malcolm Washington, 234 W Center St, Lytton, CA."	「登記車主：Malcolm Washington，加州 Lytton Center 西街 234 號。」
You search the suspect and find only pocket change.	你搜查嫌犯，只找到一些零錢。
The suspect cuts you off short as he says, "I know my rights, you jackass!"	嫌犯打斷你，說：「我知道自己的權利，你這個笨蛋！」
"This is harassment. You'll hear from my attorney!"	「這是騷擾。我會讓我的律師找你！」
"You wanna get out of the way??"	「你想不想讓開？」
What are you talking about?	你在說什麼？
You don't know the license plate number yet.	你還不知道車牌號碼。
To be safe, you read his rights to him anyway.	為了安全起見，你還是向他宣讀了權利。
Then, you remember the glove compartment.	接著，你想起了手套箱。
Plus, a loaded, Smith & Weston .45-caliber, semi-automatic handgun.	另外還有一把裝滿子彈的 Smith & Weston .45 口徑半自動手槍。
The suspect pipes up, "Honest, Officer. I only carry that for self-defense on the freeways!!"	嫌犯插話：「真的，警官。我帶它只是為了在高速公路上自衛！」
"Ok," Jack replies.	Jack 回答：「好。」
You'd better get him in the car, first.	你最好先把他弄進車裡。
You carefully handle the gun so as not to smudge any possible fingerprints.	你小心處理手槍，避免弄花可能存在的指紋。
He can't hear you when you're inside your car.	你在自己的車裡時，他聽不見你說話。
He IS!	他確實在！
He's still inside his car.	他還在自己的車裡。
He doesn't have his hands raised yet!	他還沒有舉起雙手！
You'd better get him under your control, first!	你最好先控制住他！
If it's a tie, you lose!	如果平手，就是你輸！
"Oops, I must have forgotten it!" says the suspect.	嫌犯說：「糟糕，我一定是忘了！」
Jack took it with him.	Jack 把它帶走了。
Once is enough.	一次就夠了。
"Shove it, Pig!"	「去你的，條子！」
The door swings; just push on it.	門會擺動；推一下就好。
It's a real swinger.	它真的會擺動。
You look at the patrol car, and wish that it ran as well as your 'Vette.	你看看巡邏車，希望它也能像你的 Corvette 一樣跑得好。
You love your cherry 'Vette.	你喜愛那輛鮮紅的 Corvette。
This Caddie is just not your style.	這輛 Cadillac 不是你的風格。
"The Blue Room" is the local, police officers' watering hole. It is owned and operated by retired traffic officer, "Big Bobby" Lopez.	「Blue Room」是當地警察的聚會酒吧，由退休交通警官「大個子 Bobby」Lopez 經營。
Whew. Have you had some good times here over the years!	呼。這些年來，你在這裡度過不少美好時光！
"Bud" who?	「Bud」是誰？
You see your friend, Jack, seated alone at a table. There is a jukebox against the wall to the left.	你看見朋友 Jack 獨自坐在桌旁。左邊牆邊有一台點唱機。
"I know she's getting 'em at school, but I just can't finger the punk who's supplying!"	「我知道她是在學校拿到的，但就是找不出是哪個混蛋在供應！」
"My life is going to crap. I can't talk to my daughter, she won't listen to me any more! My drinking has my marriage on the rocks, my wife's ready to leave me! Everything's a mess!"	「我的人生一團糟。我沒辦法和女兒溝通，她再也不聽我的話！我喝酒把婚姻搞砸了，老婆也準備離開我！一切都亂成一團！」
Jack is totally surprised as everyone sings "Happy Birthday."	大家唱起「生日快樂」時，Jack 完全驚呆了。
While everyone wishes Jack a "Happy Birthday," you notice the front door open, as one wild-looking female enters the Blue Room.	大家向 Jack 祝賀「生日快樂」時，你注意到前門打開，一名外表狂野的女子走進 Blue Room。
