Some of the books on criminology actually look pretty interesting, but you've got business to attend to.	有些犯罪學書籍看起來真的很有趣，但你還有公務要辦。
There are computer manuals, and many interesting books on police work. Hey, what's that copy of "Mad" magazine doing there?	這裡有電腦手冊，還有許多有趣的警察工作書籍。嘿，那本《Mad》雜誌怎麼會在這裡？
I don't think Lt. Morgan would appreciate your poking around in his things.	我想 Morgan 中尉不會喜歡你亂翻他的東西。
You wonder what Lt. Morgan keeps in this cabinet. You've heard rumors about Morgan's "liquor cabinet," but you try to ignore the department grapevine. It's usually bull.	你很好奇 Morgan 中尉在這個櫃子裡放了什麼。你聽過 Morgan 的「酒櫃」傳聞，但試著不理會警局的小道消息。通常都是胡扯。
Don't get fingerprints on the veneer, Bonds.	別在木皮上留下指紋，Bonds。
Lt. Morgan has pretty nice furniture, though up close, you can see it's nearly as chintzy as most of the other furniture in the building.	Morgan 中尉的家具相當漂亮，不過近看就會發現，和大樓裡其他家具一樣，其實很廉價。
The plant's leaves are soft and green. Somehow, you can't picture Lt. Morgan watering the plants and talking to them.	植物的葉子柔軟翠綠。不知怎地，你無法想像 Morgan 中尉替植物澆水、對它們說話的模樣。
Uhh, Bonds...just leave that where it is. I don't want the glass smudged. I'd, uh...I'd like to get back to work here, if there's nothing else I can do for you.	呃，Bonds……就把那放在原位。我不想讓玻璃沾上污痕。我，呃……如果沒別的事，我想回去工作了。
Bonds! Leave that alone. If there's nothing else you wanted, I really should get back to work.	Bonds！別碰那個。如果你沒有其他事，我真的該回去工作了。
A Bachelor of Science in Psychology from Cloun College in Baraboo, Wisconsin.	威斯康辛州 Baraboo 的 Cloun 學院心理學理學士學位。
Sonny! I'd prefer it if you'd leave that just where it is. Now, I've got a very busy schedule to get to, so I'll have to ask you to skedaddle.	Sonny！我希望你把那留在原位。現在我的行程非常忙，只好請你趕快離開。
A testimonial in consideration of Lt. Morgan's kindness.	一張表揚 Morgan 中尉善行的獎狀。
Pardon me, Sonny? That's hanging just where I want it. 'Kay? Thanks. Now then, I've got a pile of work here to do, so if you'll excuse me...?	不好意思，Sonny？那就掛在我想要的位置。好嗎？謝謝。那麼，我還有一堆工作要做，請你先失陪……？
An honorary Doctor of Thinkology degree from the Universitatus Committeeatum e pluribus unum.	Universitatus Committeeatum e pluribus unum 頒發的榮譽 Thinkology 博士學位。
Sonny, I...uh...the cleaning people get very upset if you smear the glass. Besides, we've both got work to do, don't we? So let's get to it!	Sonny，我……呃……如果你把玻璃弄髒，清潔人員會很不高興。再說，我們都有工作要做，不是嗎？那就開始吧！
Now now, Sonny, that's arranged just so, let's not go disturbing it. Now, to work then, shall we? Atta boy.	好了好了，Sonny，那是特別這樣安排的，別去弄亂它。現在，去工作吧，好嗎？這才乖。
Yes, Bonds, read what that medal says: "Courage." Ain't it the truth? Now, if it's all the same to you, I've got some work to do, so...	沒錯，Bonds，讀讀那枚勳章寫了什麼：「勇氣」。說得不錯吧？現在，如果你不介意，我還有工作要做，所以……
It's an expensive hardwood hat rack.	這是昂貴的硬木帽架。
Lt. Morgan probably wouldn't appreciate your fingering his knick-knacks.	Morgan 中尉大概不會喜歡你摸他的擺飾。
It's a Triple Cross for meritorious conduct, extraordinary valor, and conspicuous bravery.	這是三重十字勳章，表彰功勳行為、非凡勇氣與顯著英勇。
The Lieutenant wouldn't be amused if you pulled his chair out from under him, Bonds.	如果你把椅子從中尉身下抽走，他可不會覺得好笑，Bonds。
Chairs for Lt. Morgan's guests. Very stylish, you think, remembering your patched and faded 1960's barkalounger.	Morgan 中尉給客人坐的椅子。你覺得很時髦，想起自己那張補丁斑斑、褪色的 1960 年代躺椅。
Don't fiddle with the Lieutenant's stuff. He'll think you're nervous. You are, of course, but you don't want HIM to know that.	別亂動中尉的東西。他會以為你很緊張。你當然緊張，但不想讓「他」知道。
It's Lt. Morgan's desk lamp.	這是 Morgan 中尉的桌燈。
It would be presumptuous to use Lt. Morgan's phone.	擅自使用 Morgan 中尉的電話未免太冒昧。
Lt. Morgan's phone.	Morgan 中尉的電話。
You notice the number is 555-3784.	你注意到號碼是 555-3784。
Don't touch the plant. It's temperamental.	別碰那株植物。它脾氣很古怪。
It's a big, happy houseplant.	這是一株巨大又生氣蓬勃的室內植物。
Talking to plants is good for them, but it makes your superiors think you're nuts.	和植物說話對它們有益，但會讓長官以為你瘋了。
Lt. Morgan is on the phone and can't be bothered. Shouldn't you be somewhere, Bonds?	Morgan 中尉正在講電話，沒空理你。Bonds，你是不是該去別的地方？
Hmm, nice upholstery. Not like the vinyl guest chairs you've got at home.	嗯，坐墊很漂亮。不像你家裡那些乙烯基客椅。
