Thanks, my man.	謝了，老兄。
You fork over the bucks, and the clerk gives you the key to room 202. So far, so good!	你付了錢，櫃檯人員把 202 號房的鑰匙給你。目前為止一切順利！
Yes, sir. Is there something else I can help you with?	是，先生。還有什麼我能為您效勞的嗎？
Uh, no. I guess I'm just wandering around aimlessly. Pay no mind to me, I'm just checking out your fine establishment. Sorry to bother you.	呃，沒有。我大概只是隨便晃晃。別理我，我只是在參觀一下貴店。抱歉打擾了。
The column is smooth and cold. People are going to start wondering why you're stroking that column, Bonds.	這根柱子摸起來光滑冰涼。Bonds，再摸下去，別人要開始納悶你幹嘛一直撫摸那根柱子了。
It's a marble column.	這是一根大理石柱。
You run your hand over the carved, painted wood. Pretty snazzy, huh?	你用手撫過雕刻上漆的木頭。挺花俏的，對吧？
The doorframes are a sharp blend of Post-Modern color and Art Deco design.	這些門框融合了後現代色彩與裝飾藝術風格設計，搭配得相當亮眼。
Try pressing the button, Bonds.	Bonds，試著按一下按鈕吧。
It's the Hotel elevator.	這是飯店的電梯。
The elevator button lights up in a pleasing manner. Wow, it's even clean!	電梯按鈕亮起的方式挺討喜的。哇，它居然還是乾淨的！
It's the elevator button.	這是電梯按鈕。
The elevator lights tell you which floor the elevator is on. You've seen elevator lights before, Officer. Remember? Back at the station?	電梯的指示燈會告訴你電梯目前在哪一樓。警員，你以前見過電梯指示燈吧。記得嗎？在警局的時候？
The button doesn't respond. Either the button is broken--or the fourth floor is off limits.	按鈕沒有反應。要嘛是按鈕壞了——要嘛是四樓禁止進入。
You're already here!	你已經在這裡了！
You took Art History once, Bonds. You know better than to touch the surface of a painting.	Bonds，你修過一次藝術史。你應該很清楚不該去碰畫作的表面。
It's a painting of a lovely, peaceful pastoral scene. You look at it and sigh. Sometimes you wish you lived in the country, where the crime rate is low and the air is clean and pure. On the other hand, you wouldn't have bastions of civilized culture like the Blue Room. Nah. You decide the simple life just isn't for you.	這是一幅描繪美麗恬靜田園風光的畫。你看著它嘆了口氣。有時候你會希望自己住在鄉下，那裡犯罪率低，空氣清新純淨。不過另一方面，那裡也不會有像 Blue Room 這種文明文化的堡壘。算了。你認定簡樸生活終究不適合你。
Wow, marble paneling. You're mildly impressed.	哇，大理石壁板。你多少有點印象深刻。
These are pigeonholes which hold messages for hotel guests and spare keys for the rooms.	這些是鴿子籠式的置物格，用來放房客的留言和房間的備用鑰匙。
When you touch the leaves, you discover the plant is silk. You're somehow disappointed.	你摸了摸葉子，發現這株植物是絲質的。你不知怎地感到有點失望。
It's a bushy green plant.	這是一株茂密的綠色植物。
The fake plant is unmoved by your tender murmurings.	這株假植物對你溫柔的呢喃毫無反應。
Wow, marble!	哇，大理石！
The registration desk. You're impressed; you've never seen one that doesn't have gang writing carved into the top.	這是櫃檯登記桌。你印象深刻；你還沒見過哪張登記桌的桌面上沒被刻上幫派塗鴉的。
This is the lobby of the Hotel Delphoria. It's a beautiful old hotel, and it was once a classy place. Now the old clientele are being replaced by gangsters, drug dealers, and prostitutes. Needless to say, the Lytton Historical Society is appalled.	這是 Delphoria 飯店的大廳。這是一間美麗的老飯店，曾經是個高檔的地方。如今，老主顧已逐漸被幫派份子、毒販和妓女取代。不用說，Lytton 歷史學會對此深感震驚。
Hey, Baby. Frank sent me.	嘿，寶貝。Frank 派我來的。
Whitey, it's nice to see you back. I believe your new friends are waiting. Please follow me.	Whitey，很高興看到你回來了。我想你的新朋友們正在等你。請跟我來。
I'll be with you in a moment.	我馬上就來招呼你。
Just a minute, please!	請稍等一下！
Hold your horses, hotshot!	別急，大人物！
Don't rush me!	別催我！
It's Marie's friend Alex, the hotel bartender.	這是 Marie 的朋友 Alex，飯店的酒保。
You slip Alex two hundred dollars. She deftly pockets it.	你悄悄塞給 Alex 兩百塊錢。她俐落地把錢收進口袋。
Okay, hot shot, let's go. I hope you're as good as you think you are!	好了，大人物，走吧。希望你真的有自己想得那麼行！
Honey, I'm better!	親愛的，我比那還厲害呢！
Ha ha ha!	哈哈哈！
Shouldn't you talk to her first?	你不該先跟她說說話嗎？
Here ya go, Angel.	拿去吧，天使。
A hundred dollar bill! Well, you must be doing okay for yourself, mister. Hold on, I have to go get change for that.	一百塊的鈔票！哎呀，先生，你的日子過得挺不錯嘛。等一下，我得去換零錢。
Thank you, sir. Please come again.	謝謝您，先生。歡迎再度光臨。
Marie's very special to me. We go way back.	Marie 對我來說很特別。我們認識很久了。
So what do you do for a living, Whitey?	Whitey，那你是靠什麼維生的？
Well, nothing right now. I'm currently ... uh ... in relaxation mode. You see, I just got released from the slammer. Did a stretch for embezzlement.	呃，現在什麼都不做。我目前……呃……處於放鬆模式。你知道的，我才剛從牢裡放出來。因為侵占罪蹲了一段時間。
Really! That's interesting.	真的假的！挺有意思的。
Oh man, I can't believe I told you that. You mix these drinks strong, girl! Could you keep that little bit of information under your hat? I don't want people getting a bad impression of me.	天啊，真不敢相信我居然跟你說了這個。妹子，你調的酒也太烈了吧！你能幫我把這小小的秘密保密嗎？我不希望大家對我有壞印象。
Don't worry, Whitey. Your dark secret is safe with me. It's not a big deal, really.	別擔心，Whitey。你的秘密我會替你保守好。真的，這沒什麼大不了的。
Thanks, Alex. You're OK.	謝了，Alex。你人不錯。
Hey, Whitey, come on over here for a second.	嘿，Whitey，過來一下。
What can I do for you, dear lady?	親愛的女士，有什麼我能為你效勞的嗎？
I was just wondering what a gentleman like you does in his leisure time. Got any hobbies, Mr. Banksten?	我只是好奇像你這樣的紳士閒暇時都做些什麼。Banksten 先生，你有什麼嗜好嗎？
Oh, no, I'm a veritable monk. That is, aside from the women, gambling, and endless pursuit of money, ha ha!	喔，沒有，我簡直就是個苦行僧。當然啦，除了女人、賭博，還有沒完沒了地追逐金錢以外，哈哈！
Is that right? Well, if you were to come back later tonight, alone except for a couple of C notes, I might be able to get you into a little private party. You do play cards, don't you?	是嗎？這樣的話，如果你今晚晚點再過來，身邊只帶著幾張百元大鈔，我或許能帶你參加一個小小的私人派對。你會打牌吧？
Oh, I know how to play Old Maid and Go Fish. Seriously, Alex, that sounds great. I'll be back down once my lady and I have finished...tripping the light fantastic, as it were.	喔，我會玩抽鬼牌和釣魚牌喔。說真的，Alex，聽起來很不錯。等我跟我的女伴……姑且說是翩翩起舞完之後，我就會再下來。
Okay, see ya, hot shot.	好，回頭見，大人物。
Wow! You're doing better than you had hoped! This "charming cad" stuff comes naturally to you. Must have been all those Jimmy Cagney movies you used to watch.	哇！進展比你預期的還順利！這套「迷人的無賴」戲碼你演起來完全渾然天成。想必是以前看的那些 Jimmy Cagney 電影的功勞。
Let's go, baby, don't keep me waiting!	走吧，寶貝，別讓我等太久！
Hey, there, Whitey.	嘿，Whitey。
Can I get you a drink?	要幫你點杯飲料嗎？
Rum and coke, sweetheart.	蘭姆可樂，甜心。
You got it.	沒問題。
Thanks, Alex.	謝了，Alex。
Hey there, Whitey, what can I do for you?	嘿，Whitey，有什麼我能為你效勞的？
I've come to take you up on that offer you made earlier, Alex. I'm in the mood for some sport.	Alex，我是來接受你之前提的那個提議的。我現在很想找點樂子。
Okay, Whitey, you got it. Just give me the "entry fee", and I'll take you in.	好的，Whitey，沒問題。把「入場費」給我，我就帶你進去。
Hello, sir.	您好，先生。
I'd like a rum and coke, bartender.	酒保，來一杯蘭姆可樂。
You got it, pal.	沒問題，朋友。
Thanks.	謝了。
Here's your change, sir.	先生，這是您的零錢。
Hello, Officer.	您好，警員。
Can I do something for you?	需要我幫忙嗎？
Yeah, I'd like a rum and coke, bartender.	嗯，酒保，來一杯蘭姆可樂。
Whatever you say, Officer.	警員，一切聽您吩咐。
What can I do for you, Whitey?	Whitey，有什麼我能為你效勞的？
I'm on a special mission, darlin'. Frank sent me.	親愛的，我在執行一項特別任務。Frank 派我來的。
Okay, Whitey, you got it! Let's go.	好，Whitey，沒問題！走吧。
Much as you'd like to touch the pretty stripes, you can't reach that high.	儘管你很想摸摸那漂亮的條紋，但你搆不到那麼高。
Looking wistfully at the bold striped pattern on the covering over the bar, you remember tales of the `good old days' your father used to tell you, when a convicted criminals wore stripes and spent the rest of their miserable lives breaking rocks on a chain gang...Yup, those were the days.	你若有所思地望著吧檯上方遮罩那鮮明的條紋圖案，想起你父親以前常說的「美好舊時光」的故事——那時候，定罪的犯人得穿條紋囚服，餘生就在鎖鏈苦役隊裡砸石頭度過……唉，那真是段美好時光啊。
They can nurse their drinks without your assistance.	他們不需要你的協助也能慢慢喝完自己的酒。
A bar patron, probably a hotel guest from out-of-town.	一位酒吧客人，大概是外地來的飯店房客。
The bar patron barely glances your way. Apparently your appearance is a little off-putting.	這位酒吧客人幾乎沒往你這邊看。顯然你的樣子有點嚇人。
Cleaner than the stools at Carol's.	比 Carol 咖啡城堡的凳子還乾淨。
Light, thin barstools...not made for the kind of abuse the barstools get at Wino Willy's.	輕巧纖細的吧檯椅……不是那種撐得住 Wino Willy's 酒館裡吧檯椅所受摧殘的款式。
There's nothing you need from the bar right now.	你現在不需要吧檯上的任何東西。
It's a safe bet that non-liquid inebriants have passed over this bar before.	可以肯定的是，這個吧檯上以前也少不了非液態的醉人玩意兒經過。
Tapping the kegger yourself would be a great way to get yourself bounced out.	自己動手接生啤酒桶，絕對是讓自己被踢出去的好辦法。
It's a suds dispenser.	這是啤酒龍頭。
There's nothing of interest on the yuppie post-modern peach colored carpet.	這片雅痞後現代風的桃色地毯上沒什麼值得注意的東西。
It's a yuppie post-modern peach colored carpet.	這是一片雅痞後現代風的桃色地毯。
You don't have time to sit on your butt, Officer. Get to work.	警員，你沒時間坐著發呆。快去做事。
The chairs are clean and new.	這些椅子既乾淨又新。
You sit down next to Marie. Can things really be going as smoothly as they seem to be? You hope so.	你在 Marie 身邊坐下。事情真的能像看起來這麼順利嗎？你希望如此。
You find nothing on the floor.	你在地板上什麼也沒找到。
An expensive wooden floor shows under the yuppie post-modern peach colored carpet.	那片雅痞後現代風的桃色地毯底下，露出一片昂貴的木質地板。
It's Marie. She seems to be doing a good job fitting in with the people here.	這是 Marie。她似乎很成功地融入了這裡的人群。
So, Marie, what's going on? Have you seen anything unusual?	Marie，情況如何？你有看到什麼不尋常的事嗎？
As a matter of fact, I have, Son...uh, Whitey. I've seen the same three guys going into the storage room, and not coming out for hours. But get this, I snuck a peek in, and they weren't there! They have to be going somewhere else, you know, through the storage room. They must be holding the game back there somewhere.	老實說，我看到了，Son……呃，Whitey。我看到同樣那三個傢伙走進儲藏室，好幾個小時都沒出來。但你聽好了，我偷偷瞄了一眼，他們居然不在裡面！他們一定是穿過儲藏室去了別的地方。賭局肯定就藏在後面某個地方。
That's terrific, Marie, thanks a lot. But you really shouldn't be spying on them like that. These are dangerous guys.	太棒了，Marie，非常感謝。但你真的不該像那樣偷窺他們。這些人很危險。
I want to do my best for you...Whitey.	我想為你盡我最大的努力……Whitey。
Marie's smiling that smile that turns your insides to yogurt again. You feel yourself starting to blush.	Marie 又露出那個讓你渾身酥軟的笑容。你感覺自己開始臉紅了。
All refreshed, my dear? Are you ready for adventure?	親愛的，都恢復精神了嗎？準備好冒險了嗎？
As long as it's with you, baby!	只要是跟你一起，寶貝！
That's just what I wanted to hear. How about coming to Vegas with me this weekend for some gambling, drinking, and dancing til dawn?	這正是我想聽到的。這個週末要不要跟我一起去 Vegas，賭博、喝酒、跳舞跳到天亮？
Oh, Whitey, do you mean it? Oh, yes, I'd love to come with you! Oh, thank you!	喔，Whitey，你是說真的嗎？喔，好，我好想跟你一起去！喔，謝謝你！
Well, you two kids have fun. I have to get back to the bar.	好啦，你們兩個小鬼玩得開心點。我得回吧檯去了。
Okay, Alex.	好的，Alex。
So, Sweet Cheeks, baby, how bout a tour of my room?	Sweet Cheeks，寶貝，要不要參觀一下我的房間？
I thought you'd never ask. Let's go, lover.	我還以為你永遠不會問呢。走吧，親愛的。
Will you please excuse me, Whitey? I have to take care of some, uh, personal business. I'll be back in a flash, Baby.	Whitey，能失陪一下嗎？我得去處理一些……呃，私人事務。寶貝，我一下子就回來。
You discover that it's not really marble. Even fancy places have their limits.	你發現這其實不是真的大理石。就算是高檔場所也有極限。
Marbelized wall paneling. Fancy, fancy.	仿大理石紋路的牆面壁板。真是講究、講究。
It feels like a plastic plant.	摸起來像是一株塑膠植物。
How tacky. A plastic plant.	真俗氣。塑膠植物。
Talking to real plants is eccentric. Talking to plastic plants is stupid.	對著真植物說話算是古怪，對著塑膠植物說話就是愚蠢了。
This is the Hotel Delphoria cocktail lounge.	這是 Delphoria 飯店的雞尾酒廊。
What is this? Are you some kind of flake or something? Are you a deadbeat? I think you're a cop. Get lost, Mister Whitey, or whatever your name is!	這是搞什麼？你是哪根蔥啊？是來白吃白喝的嗎？我看你根本是條子。滾遠一點，Whitey 先生，還是你到底叫什麼名字！
Come on, high roller, cough up the cash.	快點，大戶，把錢掏出來。
Hey, Whitey! What's been happening with you lately? I'm dying to hear what you've been up to.	嘿，Whitey！你最近過得怎麼樣？我超想聽聽你最近都在忙什麼。
Hey, tough guy, nobody drinks for free. Unless you want a free ride from a cop, pay up!	嘿，硬漢，沒有人可以白喝酒。除非你想被條子免費請去坐一趟，不然就付錢！
You take your change, and give Alex a $20.00 tip.	你收下零錢，給了 Alex 20 元小費。
Oh! Thank you--Whitey, is it?	喔！謝謝你——是叫 Whitey 對吧？
