On the back of your hand?	寫在手背上嗎？
You can't write with a radio!	無線電不是拿來寫字的！
How can you do that?	你要怎麼做？
Using what?	要用什麼？
You don't need 	你不需要
Just do that yourself.	這件事自己做就好。
What would you do with it?	你想拿它做什麼？
 key is documented in%m17 Please refer to it for proper usage.	%m17 裡記載了鑰匙的使用方式，請參閱。
call	呼叫
Note: 	注意：
Once you tasted it, you wouldn't want it!	你一嚐就不會想要它了！
" your ""LPD Policeman's Indoctrination Guide."""	你的《LPD 警員訓練指南》。
You shouldn't have done that!	你不該那樣做！
It's more valuable to you as it is!	它保持原樣對你更有價值！
Please refer to%m17	請參閱%m17
%m87 Please review proper gun handling procedures in%m17	%m87 請參閱%m17 中的正確槍械操作程序。
%m87 You'll blow out a window!	%m87 你會把窗戶打爆的！
My, what a filthy mind you have!	天啊，你的思想真不純潔！
If you climb that, Sgt. Dooley will climb your back!	你要是爬那個，Dooley 警佐就會爬到你背上！
"""Hey, thanks a lot!"""	「嘿，謝啦！」
But now you'll NEVER get it back!	但你現在永遠拿不回來了！
"""Hello."""	「你好。」
There's no one nearby.	附近沒有人。
That's not necessary at this time.	現在沒這個必要。
Save your writing for reports.	把你的文筆留到寫報告時再用吧。
You are wearing blue polyester and gabardine trousers, a long-sleeve shirt, and shiny black shoes.	你穿著藍色聚酯纖維與華達呢長褲、長袖襯衫，以及閃亮的黑鞋。
Not here!	不是這裡！
You already have it.	你已經有了。
You don't have it.	你沒有它。
Ok.	好。
Your clothes are stylish, but the pockets are empty.	你的衣服很有型，但口袋是空的。
Locals missed it!	本地隊沒接到！
Everybody missed!	大家都沒接到！
Captain Whipplestick comes on the air and advises you to review proper radio procedures in%m17	Whipplestick 隊長透過無線電提醒你，請參閱%m17 中的正確無線電程序。
Caught undressed in public, you spend the rest of your life in shame!	在公共場所被抓到沒穿衣服，你將在羞恥中度過餘生！
"Thanks for playing\n""Police Quest.""\n\nNext time, don't make\nthis mistake again!"	「感謝遊玩\n《警察故事》。\n\n下次別再犯\n同樣的錯誤！」
Since you're dead...\n\nall you can do is restore a saved game or start over.	既然你已經死了……\n\n你只能讀取存檔或重新開始。
There's no answer.	沒有回應。
You find them quite illuminating!	你覺得它們相當啟發人心！
It holds you up (which, in this case, is not a felony).	它支撐著你（這次不算重罪）。
Yep, it's still up there!	沒錯，它還在上面！
You are carrying a blank notebook.	你帶著一本空白筆記本。
Just a moment, please...	請稍候……
With what, Sonny?	要用什麼，Sonny？
Your beat covers from Palm Street to Parkway Drive, and from River Road to Clearwater Drive.	你的巡邏區域從Palm 街到Parkway 大道，從River 路到Clearwater 路。
Your briefcase IS closed.	你的公事包確實關著。
A police officer without a weapon, is like being...	警察沒有武器，就像是……
...up a creek without a paddle!	……沒有槳卻被困在溪流裡！
These walls do a fine job of holding up the ceiling.	這些牆把天花板支撐得很好。
You don't have time to relax.	你沒時間休息。
You can't see the Help Screen right now. Try again elsewhere.	你現在看不到說明畫面。換個地方再試試。
Now?!	現在？！
Go where?	要去哪裡？
You rip out the speed loader and load your weapon.	你拔出快速裝彈器，替武器裝填。
It is loaded. You have %v34 shells left.	已經裝填完畢。你還有 %v34 發子彈。
You're unarmed.	你手無寸鐵。
You have no ammunition.	你沒有彈藥。
Handling your weapon while driving is dangerous.	開車時操作武器很危險。
Your backups ARE listening.	你的支援人員確實正在聽。
This car has a tape player, but no police radio.	這輛車有卡帶播放器，但沒有警用無線電。
Notebook? What notebook?	筆記本？什麼筆記本？
You don't have one.	你沒有那個。
About PQ  	關於《警察故事》  
Help  <F1>	說明  <F1>
File	檔案
Save     <F5>	儲存     <F5>
Restore  <F7>	讀取     <F7>
Restart  <F9>	重新開始  <F9>
Quit  <Alt-Z>	離開  <Alt-Z>
Inventory      <Tab>	物品欄      <Tab>
See Object  <Ctrl-S>	查看物品  <Ctrl-S>
Dispatcher  <Ctrl-D>	調度中心  <Ctrl-D>
Special	特殊
