Hey! Whassa matter, is your radar down, or are you just starved for human contact?	嘿！怎麼了，你的雷達壞了，還是只是太渴望和人接觸？
Get real, Sonny! Slamdancing went out with mohawks and safety pins through the nose.	醒醒吧，Sonny！剃莫霍克頭、把安全別針穿進鼻子的年代早過去了。
Hey! I'm not into full contact sports. I was on the varsity golf team in high school, man!	嘿！我不喜歡全接觸運動。老兄，我高中可是校隊高爾夫球員！
Wake up, Sonny! What's the matter, those seven donuts and four cups of coffee haven't kicked in yet?	醒醒，Sonny！怎麼了，七個甜甜圈和四杯咖啡還沒發揮作用嗎？
Hey! You got chocolate in my peanut butter! Ha ha ha ha!	嘿！你把巧克力弄到我的花生醬裡了！哈哈哈哈！
Hey! What's with you, Bonds, were you up a little too late last night? Nah, that would mean you had a social life!	嘿！你怎麼回事，Bonds，昨晚是不是太晚睡？不，那表示你得先有社交生活！
BONDS! Take a seat!	BONDS！坐下！
Oh, Master Bonds! Hello! I know you had to pass a minimal IQ test to get this job, get a clue and sit your butt down!	哦，Bonds 大師！你好！我知道你只要通過最低智力測驗就能得到這份工作，識相點，坐下！
HEELLLOOOO! Mr. Einstein! Sonny---Chair---SIT! NOW!	喂——！愛因斯坦先生！Sonny——椅子——現在坐下！
OK buttbite, you're outta here!	好啦，屁孩，你被趕出去了！
Steve doesn't want to play now.	Steve 現在不想玩。
Hmm, a little dust in there, but nothing else.	嗯，裡面有一點灰塵，但沒有別的東西。
It's your pigeonhole. It looks like there's a hand-written note inside.	這是你的信箱。裡面好像有一張手寫便條。
Your pigeonhole is empty.	你的信箱是空的。
The tables seem to be held in place by waxy buildup. No sense in messing with them.	桌子似乎被蠟狀堆積物固定住了。沒必要去動它們。
This is the briefing room. Each shift begins with a briefing.	這是簡報室。每一班勤務都從簡報開始。
What are you going to do, guess the paper's age by counting the coffee rings?	你打算怎麼做，數咖啡杯印來猜報紙的年紀嗎？
Perhaps the Sergeant was trying to protect the fine finish of the cabinet by covering it with departmental paperwork.	也許警佐是想用警局文件蓋住櫃子，保護它精美的表面。
