If you were closer, they might notice you.	如果你再靠近一點，他們可能會注意到你。
This guy won't be doing anything soon!	這傢伙短時間內什麼也做不了！
To whom are you speaking?	你在跟誰說話？
They can't hear you from here.	你在這裡說話，他們聽不見。
The sign reads, "Colonial Van and Storage."	招牌寫著：「Colonial 搬運與倉儲。」
The bricks won't do you any good.	磚頭對你沒有用。
Hold on, Sonny. It seems Sergeant Dooley has something to tell you.	等等，Sonny。Dooley 警佐似乎有話要告訴你。
You can't see the driver very well from here.	你從這裡看不太清楚駕駛。
There's a man slumped over the steering wheel.	有個男人癱倒在方向盤上。
You assess the damage to the building.	你評估建築物的損傷。
That's a job for the coroner.	那是驗屍官的工作。
It's obvious the radiator was damaged from impact.	很明顯，散熱器因撞擊而受損。
"Why doncha get some help?"	「你怎麼不找人幫忙？」
This door is jammed.	這扇門卡住了。
Forget it! Just walk around to the other side.	算了！繞到另一邊走就好。
Sgt. Dooley honks his horn and yells out the window, "Hey, Sonny! Move out of the way, I need to park there!"	Dooley 警佐按喇叭，對著窗外喊：「嘿，Sonny！讓開，我要停車！」
It's difficult to see though the smoke and debris, but you feel certain you can see programmers working on adventure games inside.	雖然煙霧和碎屑讓視線很差，但你確定自己看見裡面有程式設計師正在製作冒險遊戲。
Someone in this crowd smells of musk and cheap perfume.	人群中有人身上散發麝香和廉價香水味。
The inside of this building smells of flatulence.	這棟建築物裡有股腸胃氣味。
Yes, the tailpipe smells of exhaust.	沒錯，排氣管聞起來是廢氣味。
Ah! The air of Lytton.	啊！Lytton 的空氣。
You can't. It's sprung.	不行。它是彈簧式的。
She's inside her car; you can see her, but not very well.	她在車裡；你看得到她，但看得不太清楚。
Look: her license plate says "OHMYMG." Isn't that cute!	你看，她的車牌寫著「OHMYMG」。是不是很可愛！
Dispatch returns with the information you requested, "'OHMYMG' is currently registered to Helen Hots. No wants."	調度台回覆你要求的資料：「OHMYMG 目前登記在 Helen Hots 名下。沒有通緝紀錄。」
You can't see inside the car from this angle.	從這個角度看不見車內。
You see a driver behind the wheel.	你看見駕駛坐在方向盤後。
You don't see anyone in the car.	你沒看見車裡有人。
The car is locked.	車子上鎖了。
The car's windows are rolled up.	車窗都關著。
You see a woman sitting in the driver's seat.	你看見一名女子坐在駕駛座。
The car's engine is running.	車子的引擎正在運轉。
The car's engine is off.	車子的引擎已熄火。
You see a man sitting in the driver's seat.	你看見一名男子坐在駕駛座。
You don't want to disturb the sleeping occupant.	你不想打擾熟睡中的乘客。
The occupants appear to be asleep.	車內的人似乎睡著了。
You can't see through the tinted glass.	你看不穿深色玻璃。
It's a perfectly ordinary car.	這是一輛完全普通的車。
The sign says "No Parking."	招牌寫著「禁止停車」。
You can't park here.	你不能把車停在這裡。
You'd better move along.	你最好繼續往前走。
This isn't a safe place to stop.	這不是適合停車的安全地點。
You stop your patrol car.	你停下巡邏車。
You start the patrol car.	你發動巡邏車。
You turn off the patrol car.	你關掉巡邏車。
You check the patrol car's tires.	你檢查巡邏車的輪胎。
The tire pressure looks good.	胎壓看起來正常。
The tire is flat.	輪胎沒氣了。
