\n      Police Quest\n\n   in Pursuit of the\n      Death Angel\n\n      by Jim Walls\n\n  Ver 2.0G     12/3/87   \n	\n      Police Quest\n\n   in Pursuit of the\n      Death Angel\n\n      by Jim Walls\n\n  Ver 2.0G     12/3/87   \n
On the back of your hand?	On the back of your hand?
You can't write with a radio!	You can't write with a radio!
You see nothing special.	You see nothing special.
How can you do that?	How can you do that?
Using what?	Using what?
%m8it.	%m8it.
You don't need 	You don't need 
Just do that yourself.	Just do that yourself.
What would you do with it?	What would you do with it?
 key is documented in%m17 Please refer to it for proper usage.	 key is documented in%m17 Please refer to it for proper usage.
call	call
Note: 	Note: 
Once you tasted it, you wouldn't want it!	Once you tasted it, you wouldn't want it!
 your "LPD Policeman's Indoctrination Guide."	 your "LPD Policeman's Indoctrination Guide."
You shouldn't have done that!	You shouldn't have done that!
It's more valuable to you as it is!	It's more valuable to you as it is!
Please refer to%m17	Please refer to%m17
%m8to close it.	%m8to close it.
%m87 Please review proper gun handling procedures in%m17	%m87 Please review proper gun handling procedures in%m17
%m87 You'll blow out a window!	%m87 You'll blow out a window!
My, what a filthy mind you have!	My, what a filthy mind you have!
%m8to open it.	%m8to open it.
If you climb that, Sgt. Dooley will climb your back!	If you climb that, Sgt. Dooley will climb your back!
"Hey, thanks a lot!"	"Hey, thanks a lot!"
But now you'll NEVER get it back!	But now you'll NEVER get it back!
"Hello."	"Hello."
%m8to move it.	%m8to move it.
There's no one nearby.	There's no one nearby.
That's not necessary at this time.	That's not necessary at this time.
Save your writing for reports.	Save your writing for reports.
You are wearing blue polyester and gabardine trousers, a long-sleeve shirt, and shiny black shoes.	You are wearing blue polyester and gabardine trousers, a long-sleeve shirt, and shiny black shoes.
Not here!	Not here!
You're not close enough.	You're not close enough.
You already have it.	You already have it.
You don't have it.	You don't have it.
Ok.	Ok.
Your clothes are stylish, but the pockets are empty.	Your clothes are stylish, but the pockets are empty.
Locals missed it!	Locals missed it!
Everybody missed!	Everybody missed!
Captain Whipplestick comes on the air and advises you to review proper radio procedures in%m17	Captain Whipplestick comes on the air and advises you to review proper radio procedures in%m17
Caught undressed in public, you spend the rest of your life in shame!	Caught undressed in public, you spend the rest of your life in shame!
Thanks for playing\n"Police Quest."\n\nNext time, don't make\nthis mistake again!	Thanks for playing\n"Police Quest."\n\nNext time, don't make\nthis mistake again!
Since you're dead...\n\nall you can do is restore a saved game or start over.	Since you're dead...\n\nall you can do is restore a saved game or start over.
"'Bye."	"'Bye."
"You're welcome."	"You're welcome."
There's no answer.	There's no answer.
What's a 	What's a 
%m50%w1?	%m50%w1?
%m50%w2?	%m50%w2?
%m50%w3?	%m50%w3?
%m50%w4?	%m50%w4?
%m50%w5?	%m50%w5?
%m50%w6?	%m50%w6?
%m50%w7?	%m50%w7?
%m50%w8?	%m50%w8?
You find them quite illuminating!	You find them quite illuminating!
It holds you up (which, in this case, is not a felony).	It holds you up (which, in this case, is not a felony).
Yep, it's still up there!	Yep, it's still up there!
You are carrying a blank notebook.	You are carrying a blank notebook.
Just a moment, please...	Just a moment, please...
The F4%m11	The F4%m11
The F6%m11	The F6%m11
The F8%m11	The F8%m11
The F10%m11	The F10%m11
With what, Sonny?	With what, Sonny?
Your beat covers from Palm Street to Parkway Drive, and from River Road to Clearwater Drive.	Your beat covers from Palm Street to Parkway Drive, and from River Road to Clearwater Drive.
Your briefcase IS closed.	Your briefcase IS closed.
A police officer without a weapon, is like being...	A police officer without a weapon, is like being...
...up a creek without a paddle!	...up a creek without a paddle!
As Chief Whipplestick would say, "A cop without ammo is like a bullet without powder!"	As Chief Whipplestick would say, "A cop without ammo is like a bullet without powder!"
These walls do a fine job of holding up the ceiling.	These walls do a fine job of holding up the ceiling.
Do you have a kidney problem?	Do you have a kidney problem?
My gawd! Do you have a weak sphincter?	My gawd! Do you have a weak sphincter?
You don't have time to relax.	You don't have time to relax.
You can't see the Help Screen right now. Try again elsewhere.	You can't see the Help Screen right now. Try again elsewhere.
%m8to do that.	%m8to do that.
You don't have them.	You don't have them.
Fastest%m85	Fastest%m85
Fast%m85	Fast%m85
Normal%m85	Normal%m85
Slow%m85	Slow%m85
 speed.	 speed.
Now?!	Now?!
As you blow off your right leg, you resolve that, in the future, you will DRAW your weapon before you FIRE it!	As you blow off your right leg, you resolve that, in the future, you will DRAW your weapon before you FIRE it!
Go where?	Go where?
You rip out the speed loader and load your weapon.	You rip out the speed loader and load your weapon.
