I'm truly sorry, sir. I honestly did not even see that red light. Is there anything I can do to convince you to let me off? And, I DO mean anything!	真的很抱歉，先生。我確實沒看到紅燈。要怎樣你才肯放過我？什麼都可以！
You quickly trade your integrity for a shot at cheap thrills and torrid sex!	你很快就拿自己的操守換取廉價刺激與火熱性愛！
Who cares?!	誰在乎？！
My phone number is 555-4369, she says with a smile, "Give me a call some time."	她笑著說：「我的電話是 555-4369，有空打給我。」
Being the veteran you are, you overcome temptation and stare the young lady straight in the eyes, "May I please see your driver's license, Ma'am?"	身為老練警員，你克服誘惑，直視年輕女子的雙眼說：「小姐，可以請你出示駕照嗎？」
She's hopping mad as she yells, "Oh, you cops are all alike! All you care about is making your quotas! Well, come on, snap it up. I am in a hurry, Mr. Bigshot Traffic Cop!"	她氣得跳腳，大喊：「你們警察都一個樣！只在乎達成配額！快點，我趕時間，大牌交通警察先生！」
Guys like you make me want a big dip of snuff! You never give a decent girl a break! You just hassle people!	你這種人真讓我想嚼一大口鼻煙！你從不放過好女孩！只會找人麻煩！
What a pair of headlights!!	好大的車頭燈！！
She verbally pounds you again, "Officer, did your mother have any children that lived?"	她又用話語痛擊你：「警官，你母親有沒有生下活著的孩子？」
She hands your ticket book back and suggests with a sarcastic smile, "Why don't you shove that pen where the sun don't shine, Officer? 'Mommy and Daddy,' really!"	她把開單簿還給你，帶著諷刺笑容說：「警官，你何不把那支筆塞到不見陽光的地方？『爸爸媽媽』，真是的！」
As your eyes meet, you're momentarily stunned.	你們四目相交的一瞬間，你愣住了。
My name is Helen. Helen Hots, she says as heat detectors go off for miles around. "What's yours, Handsome?"	「我叫 Helen，Helen Hots。」她說道，彷彿方圓幾里外的熱感測器都響了起來。「帥哥，你叫什麼？」
Helen Hots	Helen Hots
Female 5'2 105	女性 5 呎 2 吋，105 磅
HAIR Black	頭髮 黑色
EYES Blue	眼睛 藍色
DOB 2/14/66	出生日期 1966 年 2 月 14 日
202 Gyrate Ct	Gyrate Court 202 號
Lytton, CA	加州 Lytton
RESTRICTIONS	限制
None.	無。
Politely, you tell her, "You ran a red light back there, Miss."	你禮貌地告訴她：「小姐，你剛才闖了紅燈。」
Thanks for not giving me a ticket, Officer!	謝謝你沒有開罰單給我，警官！
Your briefcase is in the car.	你的公事包在車裡。
First, return her license.	先把她的駕照還回去。
You hand her the ticket book and your pen. "Please sign at the 'X,' Ma'am," you politely instruct her.	你把開單簿和筆交給她。「小姐，請在 X 上簽名。」你禮貌地指示。
You haven't written her up yet.	你還沒替她開單。
You can only write one ticket per violation, Sonny!	每項違規只能開一張罰單，Sonny！
You can't write a ticket without your pen.	沒有筆就不能開罰單。
