Not now, Bonds! Follow procedure!	現在不行，Bonds！遵守程序！
You're late. Where the hell were you, Simms?	你遲到了。你到底跑哪去了，Simms？
I'm sorry, man. I couldn't get away. My mom--	抱歉，老兄。我走不開，我媽——
I--I understand. I'm sorry.	我——我明白了。對不起。
Who the hell are you? Oh, man! I'm outta here right NOW!	你到底是誰？天啊！我現在就要離開！
Hey, hey, what's going on? Who are you? Oh, God, are you a cop?	嘿、嘿，怎麼回事？你是誰？天啊，你是警察嗎？
By standing out in the open radiating cop vibes, you just scared the perp away, Bonds.	你大剌剌站在外面散發警察氣息，把嫌犯嚇跑了，Bonds。
Handcuffing a dead man could get you kicked off the force for screwing around, Bonds.	給死人戴手銬，胡鬧的你可能會被逐出警隊，Bonds。
You lift the sheet off of the body. He's looking pretty bad. You guess he's been in the river for a day or two.	你掀開屍體上的床單。他的狀況很糟。你猜他在河裡泡了一兩天。
His body squishes when you prod it. You're pretty certain if you touch him again, you'll throw up.	你戳了戳他的身體，肉體發出濕軟聲。你很確定再碰一次就會吐出來。
You carefully replace the sheet on the body.	你小心地把床單蓋回屍體上。
Yep, this is just about the deadest body you've ever seen in Lytton.	沒錯，這大概是你在 Lytton 見過最死透的屍體。
The poor guy is pretty seriously dead. You wonder what happened to him.	這可憐人死得很徹底。你想知道他發生了什麼事。
He's very gray and waterlogged. You feel the contents of your stomach slowly rolling around.	他全身灰白、泡得腫脹。你感覺胃裡的東西慢慢翻騰。
I think it might be Taselli. I can't be sure, though.	我覺得可能是 Taselli，但還不能確定。
Think so? Nothing like a solid opinion. Thanks, Sonny.	是嗎？真是可靠的意見。謝謝你，Sonny。
Yeah, thanks, Sonny. We'll inform dispatch.	好，謝謝你，Sonny。我們會通知調度。
I'm afraid it's Jason Taselli.	恐怕他是 Jason Taselli。
What are you afraid of? He's dead! Ha ha ha!	你怕什麼？他已經死了！哈哈哈！
Don't pester Officer Ballew. He's busy.	別煩 Ballew 警員。他很忙。
It's Officer Todd Ballew.	這是 Todd Ballew 警員。
Hey, Todd, what do we have here?	嘿，Todd，這裡是怎麼回事？
Dead guy, Sonny. Whatsa matter, something wrong with your nose?	死人，Sonny。怎麼了，你的鼻子有問題嗎？
Investigate if you're gonna, Sonny. The coroner is coming for this dude any minute now.	要調查就快點，Sonny。驗屍官隨時會來帶走這傢伙。
Officer Shannon is looking a little green around the gills there, Bonds. You probably shouldn't touch him.	Shannon 警員臉色有點發青，Bonds。你最好別碰他。
It's Officer Mike Shannon.	這是 Mike Shannon 警員。
Hey, Sonny, what's up? I hear you found a dead guy the other day. We have one, too, so there!	嘿，Sonny，怎麼了？聽說你前幾天發現一具屍體。我們這裡也有一具，哼！
Mike always did have an odd sense of humor.	Mike 的幽默感一向很奇怪。
