Yes, I've brought the evidence that Judge Palmer asked me to bring. Please let me in to see him!	是的，我帶來了 Palmer 法官要求的證物。請讓我進去見他！
I'm sorry, Detective Bonds, court is in session at this time, and the Judge's docket is quite full. Perhaps you could try another time.	抱歉，Bonds 探員，目前正在開庭，法官的庭期也排得很滿。也許你可以改天再來。
This is extremely urgent. I need to obtain a "No Bail Warrant" for the Hoffman case immediately. Every minute counts. If I don't get this over there quickly, he'll walk and that's the last we'll see of him. Please tell the Judge now, or there's going to be hell to pay.	這非常緊急。我必須立即取得 Hoffman 案的「不得交保令」。分秒必爭；如果不能快點送過去，他就會被放走，我們再也抓不到他。請現在就告訴法官，否則後果不堪設想。
I would dearly love to grant your Warrant and keep this suspect off the streets, but there just isn't enough evidence here. Perhaps if you brought me something else, I could help you. I am sincerely sorry, Detective. Here's your evidence.	我很想核發令狀、讓這名嫌犯不能回到街上，但這裡的證物實在不夠。也許你再帶些別的東西來，我就能幫忙。我真的很抱歉，探員。這是你的證物。
My pleasure. Here's your evidence and your warrant.	不客氣。這是你的證物和令狀。
No, but YOU will if you spend so much time in here that Hoffman's lawyer has released him by the time you get back to the jailhouse. Move it, Detective.	不會，但如果你在這裡耗太久，等你回到拘留所時 Hoffman 的律師已經把他弄出去了，那你就會。快走，探員。
Believe me when I say I'd love to give you a warrant for this suspect, but there's not enough evidence to support it. If you could provide me with something else, I could probably issue one. Sorry, Detective.	相信我，我很想替這名嫌犯核發令狀，但證物不足以支持它。如果你能提供其他東西，我大概就能核發。抱歉，探員。
Here's your evidence and your Warrant, Detective. Now get your butt down to the jail and keep that bird from flying!	這是你的證物和令狀，探員。現在快到拘留所去，別讓那隻鳥飛走！
Your honor, I'm Acting Detective Sonny Bonds. I'm sorry to disturb you like this, but it's most urgent that I get a No Bail Warrant for one of my prisoners, Marvin Hoffman.	法官大人，我是代理探員 Sonny Bonds。很抱歉這樣打擾您，但我必須緊急為我的囚犯 Marvin Hoffman 取得不得交保令。
Fascinating. You have any evidence to back this up?	有意思。你有證物支持這個說法嗎？
Detective Bonds! Did you bring me more evidence?	Bonds 探員！你帶來更多證物了嗎？
Then I'll hold you in contempt of court and throw your overpriced butt in jail for a week, and THEN I'll have you disbarred.	那我就以藐視法庭罪判你入獄一週，然後吊銷你的執照。
As for you, Mister, I highly suggest you review your rules of evidence before you appear in this courtroom again.	至於你，我強烈建議你下次再出現在這間法庭前，先複習證據規則。
You give the evidence to the bailiff.	你把證物交給法警。
